frame,timestamp_s,body_id,tracking_state,confidence,joint_00_x,joint_00_y,joint_00_z,joint_01_x,joint_01_y,joint_01_z,joint_02_x,joint_02_y,joint_02_z,joint_03_x,joint_03_y,joint_03_z,joint_04_x,joint_04_y,joint_04_z,joint_05_x,joint_05_y,joint_05_z,joint_06_x,joint_06_y,joint_06_z,joint_07_x,joint_07_y,joint_07_z,joint_08_x,joint_08_y,joint_08_z,joint_09_x,joint_09_y,joint_09_z,joint_10_x,joint_10_y,joint_10_z,joint_11_x,joint_11_y,joint_11_z,joint_12_x,joint_12_y,joint_12_z,joint_13_x,joint_13_y,joint_13_z,joint_14_x,joint_14_y,joint_14_z,joint_15_x,joint_15_y,joint_15_z,joint_16_x,joint_16_y,joint_16_z,joint_17_x,joint_17_y,joint_17_z,joint_18_x,joint_18_y,joint_18_z,joint_19_x,joint_19_y,joint_19_z,joint_20_x,joint_20_y,joint_20_z,joint_21_x,joint_21_y,joint_21_z,joint_22_x,joint_22_y,joint_22_z,joint_23_x,joint_23_y,joint_23_z,joint_24_x,joint_24_y,joint_24_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z,joint_29_x,joint_29_y,joint_29_z,joint_30_x,joint_30_y,joint_30_z,joint_31_x,joint_31_y,joint_31_z,joint_32_x,joint_32_y,joint_32_z,joint_33_x,joint_33_y,joint_33_z,joint_34_x,joint_34_y,joint_34_z,joint_35_x,joint_35_y,joint_35_z,joint_36_x,joint_36_y,joint_36_z,joint_37_x,joint_37_y,joint_37_z
1070,36.016900,0,OK,94.62,-0.718040,0.382304,2.107228,-0.710927,0.321873,2.088923,-0.696500,0.213105,2.045486,-0.682857,0.105608,1.998758,-0.665635,-0.035099,1.937781,-0.605569,-0.049685,1.785763,-0.568683,-0.099082,1.777418,-0.616788,-0.104689,1.758949,-0.559982,-0.140288,1.864238,-0.672225,-0.153370,1.821144,-0.627328,-0.013622,2.013903,-0.742426,-0.009576,1.972058,-0.538182,-0.018061,2.049997,-0.834789,0.004033,1.948535,-0.485857,0.224656,2.116064,-0.932027,0.240861,1.970253,-0.515264,0.471786,2.052215,-0.963337,0.495539,1.983411,-0.635897,0.442589,2.156286,-0.814123,0.440465,2.094049,-0.687695,0.880255,2.310856,-0.889263,0.882973,2.223150,-0.739663,1.282554,2.439839,-0.947096,1.278529,2.369344,-0.708058,1.322590,2.283630,-0.905101,1.323040,2.219383,-0.661319,1.329478,2.353649,-0.982069,1.323799,2.254166,-0.764365,1.353208,2.486742,-0.956290,1.348328,2.422687,-0.614433,0.548487,2.070679,-0.941210,0.601550,2.049220,-0.569905,0.566137,2.065613,-0.971220,0.601435,2.011545,-0.580538,0.635313,2.103215,-1.014861,0.664809,2.031328,-0.527094,0.562755,2.118509,-1.033972,0.576184,2.019706
1071,36.048400,0,OK,95.77,-0.724952,0.388202,2.107370,-0.717479,0.328121,2.088085,-0.703188,0.220942,2.040823,-0.690595,0.115325,1.989716,-0.674979,-0.022928,1.922969,-0.619828,-0.044004,1.769851,-0.584511,-0.094625,1.762079,-0.633270,-0.099514,1.745190,-0.574333,-0.133248,1.849921,-0.688104,-0.144655,1.810512,-0.635826,-0.004810,1.999532,-0.751264,0.001739,1.958960,-0.546340,-0.010590,2.034580,-0.843507,0.018355,1.936948,-0.487698,0.224212,2.120854,-0.897124,0.264218,1.988824,-0.461045,0.477725,2.153033,-0.870596,0.516273,2.031002,-0.643143,0.448198,2.157334,-0.821407,0.445968,2.095207,-0.694463,0.885612,2.312774,-0.898913,0.889883,2.217922,-0.746827,1.287218,2.443741,-0.958298,1.282873,2.370285,-0.716509,1.327350,2.287302,-0.916715,1.327547,2.220259,-0.669233,1.334288,2.356954,-0.993658,1.327830,2.255103,-0.771268,1.357820,2.490859,-0.967905,1.352650,2.423585,-0.543216,0.561770,2.200393,-0.825704,0.607357,2.106811,-0.495739,0.569720,2.202031,-0.855188,0.617743,2.070168,-0.494581,0.620245,2.263335,-0.883950,0.686533,2.097607,-0.458701,0.537376,2.249192,-0.921888,0.605868,2.077391
1072,36.081651,0,OK,95.30,-0.727070,0.388162,2.105626,-0.719288,0.328399,2.085493,-0.705111,0.222674,2.035031,-0.693327,0.118788,1.980312,-0.678942,-0.017198,1.908800,-0.632150,-0.037019,1.752760,-0.598615,-0.088383,1.742394,-0.648274,-0.091734,1.727928,-0.585044,-0.128767,1.828976,-0.700917,-0.136586,1.795222,-0.639088,-0.001871,1.985611,-0.754812,0.006600,1.946225,-0.549361,-0.008719,2.019839,-0.846854,0.025662,1.925386,-0.491664,0.215600,2.131044,-0.854260,0.274274,1.989821,-0.442327,0.448716,2.227155,-0.741707,0.499325,2.041769,-0.645544,0.447896,2.156358,-0.823850,0.445565,2.094354,-0.696355,0.885522,2.311372,-0.899957,0.891207,2.211564,-0.748937,1.286885,2.442995,-0.957002,1.282268,2.369675,-0.718657,1.326127,2.286322,-0.916976,1.325623,2.218840,-0.671305,1.333314,2.355897,-0.993550,1.326246,2.254485,-0.773168,1.357791,2.489763,-0.966020,1.352508,2.422467,-0.518150,0.526345,2.292601,-0.668761,0.566563,2.120614,-0.470283,0.528219,2.297619,-0.692474,0.587768,2.084447,-0.467513,0.560729,2.370060,-0.695883,0.661282,2.114383,-0.439435,0.480843,2.335643,-0.759222,0.599503,2.091445
1073,36.116126,0,OK,95.47,-0.727404,0.379099,2.102158,-0.719279,0.319976,2.080343,-0.704679,0.216792,2.024980,-0.692521,0.115943,1.964923,-0.677848,-0.016107,1.886436,-0.637905,-0.042673,1.729496,-0.606919,-0.095698,1.719565,-0.657191,-0.097399,1.707058,-0.591712,-0.133934,1.806848,-0.709014,-0.137904,1.777665,-0.638486,-0.004921,1.964209,-0.753932,0.005815,1.924563,-0.548988,-0.012994,1.998767,-0.845386,0.027407,1.903600,-0.496422,0.195307,2.139700,-0.828597,0.274361,1.972494,-0.446947,0.408170,2.274816,-0.641724,0.441840,2.027663,-0.646282,0.437769,2.154748,-0.824452,0.436315,2.092324,-0.695714,0.876468,2.307153,-0.900808,0.883696,2.202539,-0.747613,1.278402,2.437297,-0.957134,1.275100,2.360060,-0.717314,1.315994,2.280225,-0.917895,1.314437,2.207922,-0.669856,1.323629,2.349679,-0.994303,1.315884,2.243897,-0.771465,1.349866,2.483406,-0.966044,1.346724,2.410977,-0.523913,0.476177,2.349044,-0.560879,0.467030,2.121940,-0.476325,0.475548,2.356453,-0.570635,0.499852,2.088066,-0.476342,0.495255,2.433420,-0.551904,0.565060,2.129410,-0.448657,0.421413,2.387208,-0.629299,0.534304,2.091743
1074,36.149360,0,OK,95.75,-0.726311,0.375123,2.099590,-0.717892,0.316603,2.076312,-0.702882,0.215760,2.016894,-0.690272,0.117688,1.952490,-0.675142,-0.010757,1.868313,-0.640935,-0.040956,1.710676,-0.612099,-0.095161,1.700643,-0.662759,-0.095299,1.689676,-0.595556,-0.132638,1.788013,-0.713761,-0.132959,1.762424,-0.636226,-0.003036,1.946728,-0.751445,0.009469,1.906939,-0.547024,-0.012413,1.981719,-0.842326,0.033133,1.885723,-0.501968,0.172627,2.154187,-0.804376,0.278494,1.951848,-0.459141,0.362026,2.322439,-0.568103,0.361407,2.009426,-0.645526,0.432809,2.153764,-0.823597,0.432142,2.091046,-0.694163,0.872389,2.303869,-0.896612,0.881534,2.195176,-0.745816,1.274784,2.432681,-0.948565,1.273912,2.351774,-0.715032,1.310880,2.275352,-0.911575,1.308248,2.197872,-0.667687,1.318919,2.344839,-0.987403,1.311156,2.234970,-0.769462,1.346747,2.478116,-0.956405,1.347149,2.400528,-0.539338,0.418836,2.402436,-0.528473,0.327679,2.124970,-0.492199,0.416352,2.412012,-0.510595,0.366568,2.102880,-0.496033,0.423873,2.491012,-0.486436,0.406358,2.167265,-0.466533,0.357691,2.435296,-0.547803,0.423632,2.101763
1075,36.182874,0,OK,95.90,-0.720821,0.367999,2.101576,-0.712139,0.310307,2.076402,-0.696490,0.212246,2.012652,-0.683315,0.117405,1.943683,-0.667525,-0.006969,1.853714,-0.638909,-0.044492,1.696536,-0.612090,-0.099960,1.687908,-0.663028,-0.098889,1.678378,-0.594177,-0.134459,1.776230,-0.713033,-0.131958,1.753994,-0.629616,-0.003129,1.932905,-0.744258,0.011716,1.892264,-0.541093,-0.014586,1.968985,-0.834333,0.037761,1.870411,-0.505565,0.142748,2.168982,-0.787789,0.280781,1.939620,-0.476788,0.316348,2.356199,-0.542938,0.321401,2.006049,-0.640479,0.423999,2.158127,-0.818179,0.425079,2.094367,-0.688334,0.865389,2.303082,-0.892137,0.875819,2.191794,-0.739675,1.269103,2.427831,-0.943796,1.270105,2.343623,-0.708532,1.302878,2.270057,-0.908953,1.298396,2.187999,-0.661255,1.311710,2.339494,-0.984320,1.302413,2.225926,-0.763112,1.341782,2.472221,-0.951425,1.345208,2.389487,-0.562425,0.365302,2.435750,-0.540612,0.270502,2.122077,-0.515950,0.362213,2.448014,-0.511026,0.306578,2.110114,-0.524778,0.362572,2.526971,-0.497218,0.334882,2.183055,-0.491145,0.301831,2.467524,-0.535844,0.369994,2.108022
1076,36.216690,0,OK,95.95,-0.715385,0.359614,2.103431,-0.706428,0.302752,2.076528,-0.690063,0.207467,2.008867,-0.676221,0.116051,1.935542,-0.659578,-0.003817,1.839797,-0.634814,-0.048980,1.683979,-0.609600,-0.105470,1.677373,-0.660659,-0.103462,1.668676,-0.590976,-0.136507,1.766825,-0.710115,-0.131824,1.746533,-0.622683,-0.003976,1.919558,-0.736755,0.013194,1.878234,-0.534843,-0.017674,1.956516,-0.826091,0.041396,1.856028,-0.509592,0.109509,2.178332,-0.781107,0.283028,1.930899,-0.497994,0.274196,2.375204,-0.536323,0.308728,2.004624,-0.635537,0.413942,2.162266,-0.812792,0.416741,2.097332,-0.682455,0.857676,2.300201,-0.887652,0.868706,2.188167,-0.733305,1.263208,2.419121,-0.939226,1.264852,2.335110,-0.701845,1.294289,2.260857,-0.906078,1.287434,2.178188,-0.654634,1.304116,2.330206,-0.981079,1.292541,2.216703,-0.756578,1.336678,2.462277,-0.946754,1.341588,2.378201,-0.589456,0.317998,2.451194,-0.540191,0.254162,2.118932,-0.543788,0.315207,2.466245,-0.508936,0.289509,2.109257,-0.557559,0.311886,2.544422,-0.496944,0.314996,2.183547,-0.519002,0.254474,2.484656,-0.531438,0.353811,2.108325
1077,36.249190,0,OK,95.22,-0.712872,0.355839,2.104108,-0.703671,0.299744,2.075717,-0.686644,0.206900,2.004901,-0.672123,0.118473,1.928125,-0.654579,0.002551,1.827791,-0.629082,-0.050799,1.674702,-0.604638,-0.107902,1.671205,-0.655583,-0.105616,1.661924,-0.587273,-0.134626,1.762289,-0.706144,-0.129292,1.740632,-0.618551,-0.000892,1.907873,-0.732149,0.018114,1.866051,-0.531306,-0.016512,1.945473,-0.820956,0.047771,1.843623,-0.516084,0.082436,2.182101,-0.787080,0.289920,1.922564,-0.520680,0.239942,2.385044,-0.544087,0.318272,2.001085,-0.633451,0.408649,2.164873,-0.810326,0.412981,2.098992,-0.681052,0.854100,2.296917,-0.883456,0.866148,2.185131,-0.732793,1.260939,2.410882,-0.932218,1.263863,2.328759,-0.700735,1.289844,2.252326,-0.902449,1.281518,2.170533,-0.653789,1.300632,2.321711,-0.976611,1.287840,2.210467,-0.756236,1.334994,2.452934,-0.938859,1.341912,2.369580,-0.617160,0.279441,2.457086,-0.543838,0.265936,2.116495,-0.572348,0.277096,2.474585,-0.515136,0.303156,2.105970,-0.590360,0.271007,2.551726,-0.504729,0.330937,2.179673,-0.547293,0.216321,2.492487,-0.542044,0.365712,2.103825
1078,36.287701,0,OK,95.16,-0.708847,0.349392,2.096874,-0.699280,0.294016,2.067220,-0.681398,0.203042,1.994222,-0.665822,0.116869,1.915124,-0.646723,0.004055,1.811585,-0.621542,-0.056634,1.661200,-0.598115,-0.114264,1.660417,-0.648971,-0.111495,1.650784,-0.581620,-0.137131,1.752705,-0.700284,-0.130670,1.730228,-0.610908,-0.001291,1.891658,-0.724573,0.017691,1.850008,-0.523795,-0.017446,1.929337,-0.813507,0.047179,1.827861,-0.514747,0.063415,2.173048,-0.802554,0.290026,1.911052,-0.529555,0.214503,2.380336,-0.564034,0.343780,1.990008,-0.629871,0.401175,2.159083,-0.806575,0.406149,2.092788,-0.676081,0.848076,2.286649,-0.880824,0.859433,2.177341,-0.727427,1.255714,2.397907,-0.928680,1.256549,2.322918,-0.695181,1.283115,2.239122,-0.902545,1.272368,2.163858,-0.648265,1.294425,2.308445,-0.975842,1.278746,2.205352,-0.750739,1.330197,2.439270,-0.934912,1.335069,2.362890,-0.628771,0.250304,2.450572,-0.552569,0.296882,2.107174,-0.584427,0.248368,2.469273,-0.530254,0.337595,2.094356,-0.604462,0.239971,2.545695,-0.522260,0.369644,2.166613,-0.558685,0.187645,2.486356,-0.566546,0.395149,2.090831
1079,36.318702,0,OK,95.39,-0.706805,0.346451,2.092169,-0.696925,0.291701,2.061475,-0.678306,0.202253,1.986794,-0.661799,0.117897,1.905948,-0.641315,0.007602,1.799987,-0.614683,-0.064953,1.655212,-0.592164,-0.122805,1.659301,-0.642808,-0.120053,1.648605,-0.577522,-0.138667,1.753356,-0.695691,-0.132245,1.728399,-0.605662,0.000830,1.880024,-0.719398,0.019619,1.838480,-0.518599,-0.015444,1.917767,-0.808635,0.048345,1.816553,-0.518976,0.058254,2.163905,-0.833927,0.285116,1.913069,-0.546083,0.205974,2.372374,-0.608592,0.380377,1.991586,-0.628203,0.397368,2.155557,-0.804773,0.402850,2.088943,-0.674554,0.844520,2.282190,-0.877760,0.856007,2.175263,-0.726843,1.251923,2.393871,-0.922969,1.252096,2.324438,-0.693633,1.279252,2.235272,-0.899696,1.267696,2.164913,-0.647145,1.290610,2.304876,-0.972239,1.274113,2.207706,-0.750428,1.326420,2.435053,-0.928506,1.330671,2.364405,-0.648469,0.237984,2.439834,-0.578313,0.340566,2.108019,-0.604669,0.237310,2.459858,-0.565960,0.384542,2.092743,-0.626713,0.227626,2.535572,-0.558930,0.419839,2.163574,-0.577508,0.177298,2.477257,-0.613480,0.433349,2.091487
