frame,timestamp_s,body_id,tracking_state,confidence,joint_00_x,joint_00_y,joint_00_z,joint_01_x,joint_01_y,joint_01_z,joint_02_x,joint_02_y,joint_02_z,joint_03_x,joint_03_y,joint_03_z,joint_04_x,joint_04_y,joint_04_z,joint_05_x,joint_05_y,joint_05_z,joint_06_x,joint_06_y,joint_06_z,joint_07_x,joint_07_y,joint_07_z,joint_08_x,joint_08_y,joint_08_z,joint_09_x,joint_09_y,joint_09_z,joint_10_x,joint_10_y,joint_10_z,joint_11_x,joint_11_y,joint_11_z,joint_12_x,joint_12_y,joint_12_z,joint_13_x,joint_13_y,joint_13_z,joint_14_x,joint_14_y,joint_14_z,joint_15_x,joint_15_y,joint_15_z,joint_16_x,joint_16_y,joint_16_z,joint_17_x,joint_17_y,joint_17_z,joint_18_x,joint_18_y,joint_18_z,joint_19_x,joint_19_y,joint_19_z,joint_20_x,joint_20_y,joint_20_z,joint_21_x,joint_21_y,joint_21_z,joint_22_x,joint_22_y,joint_22_z,joint_23_x,joint_23_y,joint_23_z,joint_24_x,joint_24_y,joint_24_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z,joint_29_x,joint_29_y,joint_29_z,joint_30_x,joint_30_y,joint_30_z,joint_31_x,joint_31_y,joint_31_z,joint_32_x,joint_32_y,joint_32_z,joint_33_x,joint_33_y,joint_33_z,joint_34_x,joint_34_y,joint_34_z,joint_35_x,joint_35_y,joint_35_z,joint_36_x,joint_36_y,joint_36_z,joint_37_x,joint_37_y,joint_37_z
441,15.003963,0,OK,97.66,-0.649033,0.287952,2.103225,-0.639758,0.223088,2.087554,-0.625982,0.102163,2.058536,-0.617438,-0.019706,2.031521,-0.607649,-0.179361,1.997101,-0.586133,-0.271149,1.857161,-0.563720,-0.329517,1.865113,-0.613792,-0.327776,1.856272,-0.546154,-0.334039,1.959925,-0.662991,-0.329976,1.939296,-0.572613,-0.144977,2.076330,-0.689063,-0.139843,2.019395,-0.484718,-0.155131,2.126931,-0.781137,-0.141457,1.975705,-0.422565,0.058550,2.197886,-0.854560,0.076437,2.016793,-0.367514,0.284629,2.218255,-0.883294,0.307842,2.003258,-0.577445,0.346574,2.156961,-0.736887,0.343102,2.076975,-0.586392,0.789604,2.160839,-0.783269,0.783685,2.066690,-0.664518,1.175330,2.251516,-0.835568,1.119288,2.285198,-0.644806,1.260475,2.123818,-0.802251,1.249064,2.212359,-0.604814,1.258952,2.192765,-0.873610,1.224134,2.237691,-0.705715,1.218384,2.309897,-0.843220,1.131883,2.367308,-0.410207,0.370249,2.169629,-0.833928,0.399773,1.978163,-0.370456,0.369264,2.180485,-0.874099,0.394210,1.970788,-0.359715,0.435322,2.184636,-0.893020,0.458537,1.970151,-0.356523,0.377860,2.236371,-0.911516,0.398405,2.015214
442,15.035148,0,OK,98.10,-0.645189,0.297217,2.098442,-0.635266,0.232524,2.082462,-0.621376,0.111430,2.054212,-0.613444,-0.011034,2.029833,-0.604510,-0.171524,1.999279,-0.583899,-0.267683,1.862167,-0.561261,-0.325712,1.871792,-0.611410,-0.324378,1.863317,-0.542901,-0.327159,1.966550,-0.659915,-0.324045,1.946777,-0.568789,-0.135347,2.077396,-0.685613,-0.131144,2.021157,-0.480491,-0.143695,2.127624,-0.777959,-0.132317,1.978029,-0.418469,0.075759,2.178127,-0.843627,0.091101,1.996182,-0.367488,0.303485,2.168146,-0.866979,0.321346,1.964560,-0.574324,0.356210,2.152726,-0.733461,0.351694,2.072185,-0.584648,0.799066,2.164737,-0.778199,0.792239,2.055150,-0.668472,1.181112,2.265363,-0.832244,1.133123,2.264885,-0.645631,1.268856,2.139966,-0.797729,1.260867,2.189073,-0.607458,1.266022,2.209896,-0.869465,1.236717,2.214096,-0.711295,1.222898,2.323496,-0.840977,1.147911,2.346520,-0.412711,0.382542,2.111374,-0.814867,0.410644,1.935777,-0.372514,0.382870,2.120490,-0.854907,0.405468,1.927465,-0.361925,0.448935,2.116059,-0.872386,0.470015,1.922514,-0.356165,0.398226,2.174232,-0.893561,0.413002,1.970366
443,15.069590,0,OK,97.55,-0.642607,0.305655,2.098022,-0.632049,0.241150,2.081696,-0.617961,0.119991,2.053824,-0.610409,-0.002863,2.031362,-0.601975,-0.163886,2.003593,-0.580837,-0.262930,1.868632,-0.557885,-0.320609,1.879532,-0.608040,-0.319734,1.871034,-0.539521,-0.319867,1.974297,-0.656549,-0.317825,1.954470,-0.565802,-0.126424,2.080892,-0.682884,-0.122941,2.025140,-0.477157,-0.133103,2.130756,-0.775364,-0.123474,1.982289,-0.414614,0.089180,2.165924,-0.833745,0.102690,1.982539,-0.367329,0.315548,2.133055,-0.850945,0.331178,1.937197,-0.572429,0.364978,2.152839,-0.731304,0.359474,2.071843,-0.583458,0.807599,2.171225,-0.774516,0.799928,2.049326,-0.672718,1.186354,2.279345,-0.830149,1.146124,2.249740,-0.645572,1.275821,2.156040,-0.794286,1.271289,2.170336,-0.609734,1.271894,2.227144,-0.866416,1.248107,2.195144,-0.717352,1.227413,2.336626,-0.839949,1.163550,2.330731,-0.415464,0.389236,2.071643,-0.795007,0.417911,1.907759,-0.374918,0.390477,2.078959,-0.834810,0.413623,1.897942,-0.364976,0.455940,2.068368,-0.850103,0.478447,1.890175,-0.356400,0.410494,2.130415,-0.874948,0.423710,1.938912
444,15.101096,0,OK,97.34,-0.642853,0.313124,2.100546,-0.631686,0.248786,2.083967,-0.616982,0.127749,2.055883,-0.608866,0.004838,2.033935,-0.599537,-0.156265,2.006931,-0.577878,-0.255845,1.872447,-0.554463,-0.313288,1.883604,-0.604638,-0.312843,1.875194,-0.535936,-0.311911,1.978331,-0.653012,-0.310873,1.958707,-0.563065,-0.118160,2.083774,-0.680565,-0.115758,2.028852,-0.473867,-0.122967,2.132861,-0.773245,-0.116032,1.986433,-0.408787,0.100100,2.156632,-0.826359,0.111193,1.976092,-0.363821,0.323783,2.106602,-0.837082,0.338239,1.922296,-0.573196,0.372922,2.155512,-0.732098,0.366176,2.074661,-0.582972,0.815459,2.176471,-0.773989,0.806481,2.047256,-0.676194,1.192232,2.288120,-0.830023,1.157584,2.238829,-0.643788,1.281876,2.166222,-0.793150,1.279732,2.155295,-0.610584,1.277368,2.238559,-0.865543,1.257661,2.180348,-0.722495,1.233502,2.343908,-0.840393,1.177919,2.319068,-0.413960,0.394614,2.043457,-0.776538,0.422641,1.895293,-0.373128,0.395822,2.048963,-0.815885,0.419690,1.883372,-0.363123,0.460527,2.034485,-0.828380,0.484946,1.874321,-0.352250,0.418339,2.098445,-0.857774,0.431583,1.922041
445,15.135409,0,OK,97.18,-0.646830,0.318446,2.106897,-0.635134,0.254240,2.090173,-0.619330,0.133444,2.061653,-0.609302,0.010698,2.039570,-0.597096,-0.150208,2.012539,-0.574746,-0.247017,1.876158,-0.550755,-0.304430,1.886185,-0.600949,-0.304313,1.877875,-0.532053,-0.304663,1.980887,-0.649172,-0.304389,1.961498,-0.560481,-0.111330,2.088925,-0.678648,-0.111302,2.035398,-0.470452,-0.113305,2.136671,-0.771685,-0.112573,1.993787,-0.401027,0.109230,2.151447,-0.822297,0.114954,1.978632,-0.356590,0.330222,2.090230,-0.824997,0.340630,1.918443,-0.577408,0.378879,2.161464,-0.736769,0.370633,2.081662,-0.584835,0.821464,2.182416,-0.779090,0.810576,2.049486,-0.679739,1.197666,2.294579,-0.834501,1.165207,2.234635,-0.642159,1.286026,2.173230,-0.797959,1.284493,2.146924,-0.611296,1.281464,2.246594,-0.870241,1.263329,2.173058,-0.727103,1.239997,2.348653,-0.844448,1.188192,2.314209,-0.407791,0.401020,2.027902,-0.758229,0.421470,1.895519,-0.366733,0.401298,2.031544,-0.796795,0.420636,1.880993,-0.355811,0.465423,2.015258,-0.805046,0.486443,1.871103,-0.343085,0.424270,2.079549,-0.840454,0.434969,1.916770
446,15.169412,0,OK,97.00,-0.655800,0.321388,2.118347,-0.643686,0.257239,2.101699,-0.626275,0.136740,2.072863,-0.612809,0.014365,2.050549,-0.595614,-0.146050,2.023308,-0.572097,-0.236737,1.882972,-0.547160,-0.294122,1.890553,-0.597372,-0.294471,1.882363,-0.528190,-0.297986,1.985123,-0.645353,-0.298799,1.966014,-0.558721,-0.105843,2.098867,-0.677952,-0.109972,2.047922,-0.467533,-0.103546,2.144347,-0.771656,-0.113989,2.008017,-0.392589,0.117587,2.150960,-0.825685,0.112545,1.990029,-0.346575,0.336513,2.083768,-0.814110,0.333832,1.916148,-0.586242,0.382729,2.171716,-0.746609,0.372565,2.094181,-0.589413,0.825462,2.190542,-0.790261,0.811883,2.055829,-0.684047,1.201727,2.302724,-0.843041,1.168538,2.237838,-0.642221,1.288306,2.181480,-0.808204,1.285413,2.146272,-0.613058,1.283847,2.255543,-0.879969,1.264985,2.174346,-0.731804,1.245387,2.355377,-0.851464,1.193654,2.316943,-0.397381,0.409947,2.024229,-0.737503,0.406069,1.895367,-0.356230,0.408504,2.026124,-0.774611,0.408329,1.877563,-0.343356,0.472279,2.009889,-0.775009,0.473970,1.863868,-0.329646,0.430025,2.073258,-0.819310,0.429007,1.908640
447,15.203929,0,OK,97.36,-0.661261,0.321518,2.125952,-0.648806,0.257416,2.109373,-0.630032,0.137204,2.080194,-0.613650,0.015267,2.057441,-0.592224,-0.144545,2.029662,-0.563899,-0.223943,1.883495,-0.537122,-0.280874,1.887270,-0.587188,-0.282281,1.878333,-0.519207,-0.290989,1.981584,-0.636027,-0.294273,1.960730,-0.555120,-0.103322,2.104568,-0.675116,-0.110946,2.055872,-0.463100,-0.097068,2.147951,-0.769376,-0.117635,2.017671,-0.383625,0.122579,2.148108,-0.829645,0.106993,1.995968,-0.335259,0.340097,2.078052,-0.775286,0.304128,1.883078,-0.591557,0.383647,2.178209,-0.752810,0.371825,2.102773,-0.590790,0.826508,2.194059,-0.797992,0.810501,2.059183,-0.684851,1.203144,2.305478,-0.848494,1.168668,2.238856,-0.639555,1.287709,2.184059,-0.815323,1.283234,2.143820,-0.611741,1.283594,2.258659,-0.886575,1.263508,2.173648,-0.732790,1.248139,2.356826,-0.855538,1.195741,2.317449,-0.385851,0.416008,2.021512,-0.682916,0.352109,1.856917,-0.344719,0.413337,2.021970,-0.717332,0.358334,1.835101,-0.330518,0.476986,2.006360,-0.701689,0.418000,1.808798,-0.315933,0.433248,2.068514,-0.757851,0.394293,1.856471
448,15.235444,0,OK,97.46,-0.671381,0.319358,2.136959,-0.658530,0.255353,2.120309,-0.637601,0.135731,2.090190,-0.616929,0.014710,2.066072,-0.589438,-0.143831,2.036417,-0.556582,-0.210882,1.885103,-0.527563,-0.266831,1.884958,-0.577446,-0.269547,1.875330,-0.510124,-0.283259,1.978470,-0.626519,-0.289596,1.956004,-0.551579,-0.101419,2.110273,-0.672761,-0.114103,2.065749,-0.458446,-0.089931,2.150061,-0.767978,-0.124731,2.030967,-0.375774,0.128462,2.144420,-0.838382,0.097545,2.016875,-0.324653,0.345836,2.075882,-0.734225,0.242177,1.865895,-0.601310,0.382469,2.187521,-0.763994,0.368513,2.115602,-0.594594,0.825426,2.198671,-0.812987,0.805493,2.060579,-0.686793,1.202873,2.308899,-0.857796,1.165103,2.238878,-0.637791,1.285132,2.187335,-0.828686,1.277463,2.139956,-0.611354,1.281365,2.262452,-0.898659,1.258320,2.173016,-0.734739,1.249370,2.358885,-0.861819,1.194002,2.317032,-0.374461,0.425455,2.023932,-0.631276,0.254915,1.838362,-0.333457,0.421384,2.022836,-0.661825,0.264008,1.812224,-0.317579,0.485054,2.009029,-0.629055,0.308001,1.773658,-0.302418,0.438573,2.069017,-0.691038,0.313841,1.819625
449,15.275979,0,OK,97.01,-0.680735,0.314658,2.145749,-0.667467,0.250808,2.128830,-0.643963,0.132071,2.097148,-0.618428,0.012448,2.070816,-0.584137,-0.144164,2.038145,-0.545928,-0.198898,1.883176,-0.513020,-0.252542,1.879735,-0.562542,-0.258138,1.869501,-0.494888,-0.273663,1.972166,-0.610440,-0.286721,1.948287,-0.545756,-0.100709,2.111120,-0.667708,-0.119012,2.070858,-0.451991,-0.083600,2.147237,-0.763550,-0.133959,2.039558,-0.369280,0.134599,2.136704,-0.845674,0.084707,2.037673,-0.316764,0.352725,2.071698,-0.740266,0.216286,1.876000,-0.610258,0.378728,2.194509,-0.774483,0.362581,2.126665,-0.595913,0.821623,2.198934,-0.825917,0.796493,2.052805,-0.685660,1.200422,2.306522,-0.861760,1.158637,2.227980,-0.632230,1.279901,2.184974,-0.836514,1.268227,2.124973,-0.607540,1.276629,2.260706,-0.905069,1.250301,2.161505,-0.733679,1.248627,2.354789,-0.862299,1.189588,2.305446,-0.365699,0.435560,2.024131,-0.637530,0.221054,1.845312,-0.324860,0.430470,2.021807,-0.668206,0.229986,1.819266,-0.307624,0.494192,2.010015,-0.634062,0.269126,1.776851,-0.292215,0.445049,2.067777,-0.694385,0.281824,1.823639
450,15.304963,0,OK,96.71,-0.684910,0.312777,2.149437,-0.671313,0.249062,2.132273,-0.645753,0.131155,2.099115,-0.616366,0.012934,2.070567,-0.576704,-0.141733,2.034848,-0.533925,-0.183532,1.877070,-0.498656,-0.235340,1.870400,-0.547734,-0.242293,1.858935,-0.480940,-0.262244,1.961398,-0.595456,-0.278469,1.934647,-0.537836,-0.097550,2.107126,-0.660153,-0.120456,2.070491,-0.443894,-0.075702,2.140088,-0.756312,-0.139080,2.042287,-0.364740,0.143604,2.125851,-0.849004,0.075092,2.052373,-0.313167,0.363219,2.065249,-0.755324,0.207096,1.883962,-0.614080,0.377675,2.196563,-0.779589,0.359636,2.132416,-0.593311,0.820333,2.194429,-0.832979,0.789479,2.038786,-0.681058,1.200424,2.299077,-0.860742,1.155536,2.207164,-0.623670,1.277228,2.177613,-0.838292,1.261750,2.100055,-0.600606,1.274546,2.253880,-0.905695,1.245432,2.139377,-0.729151,1.250163,2.345687,-0.858505,1.188841,2.283618,-0.363047,0.447484,2.021311,-0.654778,0.213162,1.846910,-0.322264,0.442492,2.018003,-0.687154,0.221245,1.822711,-0.305264,0.506564,2.007876,-0.656379,0.260388,1.777794,-0.288694,0.455636,2.063741,-0.713907,0.272695,1.828076
