frame,timestamp_s,body_id,tracking_state,confidence,joint_00_x,joint_00_y,joint_00_z,joint_01_x,joint_01_y,joint_01_z,joint_02_x,joint_02_y,joint_02_z,joint_03_x,joint_03_y,joint_03_z,joint_04_x,joint_04_y,joint_04_z,joint_05_x,joint_05_y,joint_05_z,joint_06_x,joint_06_y,joint_06_z,joint_07_x,joint_07_y,joint_07_z,joint_08_x,joint_08_y,joint_08_z,joint_09_x,joint_09_y,joint_09_z,joint_10_x,joint_10_y,joint_10_z,joint_11_x,joint_11_y,joint_11_z,joint_12_x,joint_12_y,joint_12_z,joint_13_x,joint_13_y,joint_13_z,joint_14_x,joint_14_y,joint_14_z,joint_15_x,joint_15_y,joint_15_z,joint_16_x,joint_16_y,joint_16_z,joint_17_x,joint_17_y,joint_17_z,joint_18_x,joint_18_y,joint_18_z,joint_19_x,joint_19_y,joint_19_z,joint_20_x,joint_20_y,joint_20_z,joint_21_x,joint_21_y,joint_21_z,joint_22_x,joint_22_y,joint_22_z,joint_23_x,joint_23_y,joint_23_z,joint_24_x,joint_24_y,joint_24_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z,joint_29_x,joint_29_y,joint_29_z,joint_30_x,joint_30_y,joint_30_z,joint_31_x,joint_31_y,joint_31_z,joint_32_x,joint_32_y,joint_32_z,joint_33_x,joint_33_y,joint_33_z,joint_34_x,joint_34_y,joint_34_z,joint_35_x,joint_35_y,joint_35_z,joint_36_x,joint_36_y,joint_36_z,joint_37_x,joint_37_y,joint_37_z
2177,74.021241,0,OK,96.38,-0.774865,0.315655,2.206975,-0.768027,0.258758,2.176768,-0.756016,0.160160,2.108885,-0.749363,0.064029,2.036854,-0.742203,-0.061580,1.942397,-0.707120,-0.017679,1.791216,-0.682563,-0.059133,1.755592,-0.729088,-0.051608,1.746981,-0.671591,-0.129771,1.812282,-0.780149,-0.112212,1.792189,-0.709765,-0.065029,2.026511,-0.820962,-0.033741,1.976474,-0.627534,-0.108198,2.060535,-0.908679,-0.011732,1.936417,-0.594144,-0.021004,2.302679,-0.986357,0.231231,1.984231,-0.539342,0.165181,2.130390,-0.941224,0.481091,1.930521,-0.699679,0.357637,2.269166,-0.862282,0.375445,2.198814,-0.701820,0.788719,2.214675,-0.800261,0.717255,1.937805,-0.796988,1.169851,2.264790,-0.834426,1.110959,1.963497,-0.754163,1.232109,2.129148,-0.775872,1.167940,1.834082,-0.725047,1.240708,2.202902,-0.852645,1.161201,1.854617,-0.844362,1.221342,2.309342,-0.855778,1.170179,2.017513,-0.595214,0.247266,2.064754,-0.876241,0.578490,1.951924,-0.551975,0.252445,2.076842,-0.917256,0.581393,1.933165,-0.548040,0.326779,2.071817,-0.933304,0.651569,1.952758,-0.538466,0.271293,2.136682,-0.969050,0.575533,1.970602
2178,74.045745,0,OK,96.34,-0.774838,0.316301,2.207986,-0.767648,0.260864,2.175251,-0.755414,0.164916,2.103710,-0.749559,0.070811,2.028985,-0.743804,-0.052346,1.931258,-0.708957,-0.006629,1.780562,-0.685525,-0.047970,1.744061,-0.731949,-0.039351,1.735940,-0.675584,-0.119763,1.799476,-0.783905,-0.099653,1.780528,-0.711981,-0.058556,2.015449,-0.822326,-0.024141,1.965581,-0.630812,-0.103876,2.049227,-0.909186,0.001335,1.925712,-0.598732,0.017209,2.276517,-0.958394,0.252395,1.969289,-0.505758,0.179949,2.097010,-0.910435,0.503966,1.927296,-0.700250,0.355474,2.272680,-0.862285,0.376287,2.201845,-0.698685,0.787431,2.225602,-0.802278,0.731049,1.958228,-0.790506,1.168622,2.281215,-0.839622,1.123024,2.000549,-0.748734,1.232458,2.145980,-0.780060,1.185197,1.874016,-0.718718,1.239791,2.219509,-0.856988,1.177762,1.893715,-0.836967,1.219841,2.327025,-0.861258,1.180000,2.056817,-0.533910,0.262550,2.016064,-0.846482,0.602583,1.946068,-0.492432,0.260450,2.033890,-0.888281,0.604705,1.929013,-0.471927,0.331233,2.022250,-0.904836,0.674568,1.949291,-0.482760,0.283654,2.092937,-0.938372,0.597871,1.968544
2179,74.079429,0,OK,96.35,-0.775086,0.315981,2.208061,-0.767571,0.261801,2.173352,-0.755134,0.168089,2.098940,-0.749904,0.075699,2.022059,-0.745259,-0.045372,1.921702,-0.710367,0.000833,1.771165,-0.687882,-0.040652,1.734234,-0.734183,-0.031130,1.726425,-0.678964,-0.113028,1.789062,-0.786998,-0.090809,1.770841,-0.713846,-0.053793,2.005855,-0.823568,-0.016960,1.956340,-0.633386,-0.100547,2.039374,-0.909740,0.011409,1.916934,-0.599014,0.050390,2.247673,-0.934953,0.266162,1.959559,-0.483640,0.207560,2.076390,-0.877904,0.517217,1.926869,-0.700996,0.352880,2.274636,-0.862617,0.375990,2.203569,-0.694681,0.785779,2.237708,-0.805207,0.741823,1.976245,-0.783820,1.165913,2.303910,-0.847766,1.130040,2.041866,-0.743546,1.233239,2.169918,-0.788651,1.199856,1.919168,-0.712508,1.238411,2.243207,-0.865521,1.190864,1.938442,-0.829401,1.216073,2.351730,-0.869655,1.183496,2.101397,-0.493742,0.289717,1.990857,-0.812431,0.615030,1.944572,-0.455104,0.284339,2.013678,-0.854576,0.617692,1.928471,-0.426597,0.352474,2.003134,-0.869877,0.687654,1.949384,-0.450393,0.308471,2.072957,-0.903840,0.611262,1.969095
2180,74.115429,0,OK,96.51,-0.778033,0.305744,2.196386,-0.769870,0.253170,2.159427,-0.756095,0.162575,2.081474,-0.749886,0.072578,2.001876,-0.744048,-0.045667,1.898265,-0.708622,-0.000768,1.747458,-0.686429,-0.042681,1.710836,-0.732643,-0.032843,1.702909,-0.678150,-0.114752,1.766165,-0.785982,-0.091795,1.747669,-0.713606,-0.056417,1.982509,-0.822760,-0.018223,1.932770,-0.633442,-0.103672,2.016034,-0.908226,0.012238,1.893388,-0.596104,0.068609,2.206498,-0.915249,0.266796,1.943410,-0.468689,0.243599,2.063337,-0.847022,0.516499,1.924837,-0.704933,0.339926,2.265458,-0.865735,0.365599,2.193418,-0.687932,0.773420,2.240975,-0.810958,0.741495,1.982450,-0.775219,1.151163,2.321725,-0.857407,1.125845,2.065802,-0.733243,1.224235,2.191313,-0.798255,1.201290,1.946501,-0.702932,1.225933,2.265067,-0.875133,1.191312,1.965248,-0.821038,1.199366,2.371300,-0.879448,1.176488,2.127689,-0.470065,0.332929,1.984685,-0.778948,0.611814,1.946022,-0.434184,0.325644,2.011181,-0.820938,0.616180,1.929888,-0.405484,0.394499,2.009904,-0.834389,0.685799,1.953093,-0.436472,0.344488,2.072486,-0.870525,0.609759,1.970119
2181,74.145937,0,OK,96.22,-0.779460,0.298591,2.187758,-0.770739,0.247332,2.149119,-0.755812,0.159277,2.068512,-0.748669,0.071217,1.986853,-0.741640,-0.044753,1.880773,-0.704384,-0.004849,1.729006,-0.682187,-0.048057,1.693923,-0.728238,-0.038101,1.685236,-0.675043,-0.118436,1.751540,-0.782497,-0.095204,1.731271,-0.711921,-0.057253,1.965034,-0.820717,-0.018226,1.915159,-0.631781,-0.104552,1.998554,-0.905691,0.013688,1.875862,-0.590093,0.081847,2.174250,-0.903659,0.264318,1.943184,-0.463507,0.270671,2.049059,-0.829117,0.512870,1.947278,-0.707169,0.330653,2.258675,-0.867350,0.358216,2.185955,-0.680947,0.764241,2.247761,-0.813308,0.741464,1.988458,-0.769576,1.137509,2.345972,-0.861397,1.122245,2.086045,-0.726281,1.217757,2.220297,-0.801964,1.201777,1.969572,-0.696898,1.215519,2.294412,-0.878880,1.191363,1.987921,-0.816210,1.182765,2.397525,-0.883310,1.170683,2.149717,-0.466484,0.364754,1.976208,-0.761196,0.606585,1.975065,-0.431357,0.357581,2.003725,-0.802871,0.612010,1.958441,-0.406335,0.427735,2.008038,-0.816566,0.680253,1.985302,-0.437099,0.372248,2.065939,-0.853207,0.603504,1.997332
2182,74.179936,0,OK,96.87,-0.779021,0.295232,2.183100,-0.769838,0.244993,2.143245,-0.753949,0.158906,2.060720,-0.745952,0.072338,1.977558,-0.737800,-0.041889,1.869683,-0.697689,-0.011831,1.716382,-0.675044,-0.057248,1.684523,-0.720894,-0.047732,1.674392,-0.669210,-0.123838,1.746617,-0.776192,-0.101634,1.722979,-0.708628,-0.055647,1.953939,-0.817203,-0.016171,1.903935,-0.628309,-0.102628,1.987480,-0.901841,0.016470,1.864512,-0.581349,0.092725,2.151746,-0.910137,0.255466,1.965328,-0.463660,0.292403,2.034998,-0.829628,0.498264,2.009133,-0.707377,0.325710,2.255358,-0.867088,0.354613,2.182127,-0.670853,0.758677,2.258672,-0.814249,0.743575,1.995789,-0.763862,1.125352,2.375840,-0.864010,1.120947,2.105075,-0.717582,1.213942,2.257018,-0.804624,1.203753,1.990882,-0.690411,1.207097,2.331691,-0.881530,1.192893,2.009012,-0.812441,1.166804,2.428777,-0.885798,1.167545,2.170148,-0.474276,0.389005,1.966273,-0.761926,0.584045,2.056313,-0.438326,0.383174,1.993035,-0.800544,0.593811,2.034961,-0.418191,0.454671,2.000039,-0.814630,0.659531,2.067345,-0.444145,0.394790,2.055883,-0.856196,0.584386,2.065502
2183,74.216938,0,OK,95.56,-0.782526,0.275359,2.168226,-0.772681,0.225975,2.127471,-0.754901,0.141593,2.043582,-0.744024,0.056720,1.959011,-0.731826,-0.055332,1.849253,-0.689191,-0.035899,1.694921,-0.666158,-0.083425,1.666614,-0.711815,-0.074556,1.655118,-0.661489,-0.145616,1.733205,-0.768022,-0.124923,1.706381,-0.703379,-0.069907,1.933620,-0.812235,-0.032109,1.882934,-0.622144,-0.115059,1.967463,-0.896863,-0.000394,1.842740,-0.573059,0.084262,2.126251,-0.930192,0.222997,1.970559,-0.470390,0.295517,2.015878,-0.841625,0.453822,2.049473,-0.711807,0.304690,2.241856,-0.870852,0.334358,2.167492,-0.658826,0.735540,2.261003,-0.817289,0.727618,1.990623,-0.759963,1.091715,2.401505,-0.865359,1.104569,2.102099,-0.709868,1.190801,2.292965,-0.804461,1.187149,1.988541,-0.685980,1.177897,2.367959,-0.881576,1.177109,2.006255,-0.811568,1.127822,2.455483,-0.886921,1.151148,2.167260,-0.490941,0.394301,1.952733,-0.772913,0.525580,2.115026,-0.453609,0.389925,1.977828,-0.806323,0.542116,2.089474,-0.438602,0.462320,1.987826,-0.817786,0.605920,2.126405,-0.457746,0.397941,2.041368,-0.866797,0.537222,2.110391
2184,74.246451,0,OK,95.47,-0.783377,0.266771,2.161885,-0.772994,0.218006,2.120524,-0.753646,0.134876,2.035737,-0.740310,0.051332,1.950200,-0.724628,-0.058982,1.839132,-0.676116,-0.055609,1.685350,-0.653115,-0.106095,1.662710,-0.698132,-0.097587,1.648696,-0.652157,-0.161499,1.735190,-0.757198,-0.141648,1.702489,-0.696765,-0.074077,1.923602,-0.805852,-0.037881,1.872249,-0.614709,-0.117491,1.957739,-0.890512,-0.007341,1.831220,-0.564019,0.080188,2.118069,-0.950454,0.199170,1.976519,-0.481360,0.301930,2.011535,-0.852711,0.417800,2.076513,-0.713407,0.295320,2.236532,-0.871919,0.325447,2.161220,-0.646523,0.723340,2.270154,-0.816317,0.721472,1.991286,-0.757545,1.067730,2.431085,-0.861532,1.098804,2.102666,-0.705336,1.176229,2.333051,-0.798868,1.180184,1.989203,-0.684235,1.157762,2.407717,-0.876212,1.171262,2.006513,-0.812113,1.098344,2.485543,-0.882814,1.145878,2.167564,-0.515279,0.401257,1.955398,-0.779286,0.473559,2.151798,-0.475868,0.399130,1.977415,-0.808997,0.496606,2.126723,-0.466479,0.472048,1.990108,-0.814477,0.557504,2.169475,-0.475723,0.403789,2.041422,-0.870643,0.497489,2.144546
2185,74.280452,0,OK,96.51,-0.782526,0.264159,2.160293,-0.771704,0.215826,2.118540,-0.751057,0.133586,2.033192,-0.735625,0.051070,1.947013,-0.716953,-0.057875,1.835059,-0.662082,-0.070849,1.683948,-0.638970,-0.123653,1.667577,-0.683229,-0.116107,1.650858,-0.641887,-0.171340,1.745302,-0.745158,-0.153733,1.706291,-0.689566,-0.073268,1.919630,-0.798838,-0.038570,1.867640,-0.606780,-0.115088,1.953994,-0.883573,-0.009613,1.825631,-0.554654,0.075489,2.122264,-0.964588,0.179090,1.984312,-0.494579,0.306277,2.019893,-0.862063,0.390094,2.095298,-0.713165,0.292205,2.235694,-0.871245,0.322566,2.159573,-0.635664,0.717414,2.280369,-0.813650,0.720661,1.995233,-0.755517,1.050991,2.456979,-0.856411,1.098249,2.106715,-0.703114,1.166930,2.367982,-0.792205,1.178344,1.993200,-0.683771,1.144000,2.441882,-0.869737,1.170405,2.010139,-0.812392,1.076673,2.511624,-0.877487,1.145882,2.171272,-0.543580,0.404154,1.973130,-0.780935,0.431314,2.172026,-0.502122,0.405051,1.991103,-0.809135,0.459322,2.150510,-0.498685,0.477854,2.007047,-0.807142,0.516115,2.198851,-0.495950,0.406619,2.054963,-0.869731,0.464266,2.171061
2186,74.326476,0,OK,96.92,-0.777451,0.256599,2.154636,-0.766326,0.208212,2.113024,-0.744579,0.125184,2.028719,-0.726487,0.042495,1.943225,-0.703880,-0.066325,1.831878,-0.649098,-0.079920,1.680789,-0.625808,-0.132727,1.664684,-0.670110,-0.125434,1.647965,-0.628481,-0.180002,1.742670,-0.731851,-0.162985,1.703659,-0.676665,-0.080572,1.916706,-0.786518,-0.049258,1.863799,-0.592784,-0.119628,1.951661,-0.871686,-0.023889,1.820367,-0.543190,0.062566,2.129700,-0.968795,0.154441,1.981984,-0.507442,0.299682,2.030454,-0.853376,0.369302,2.070669,-0.708417,0.285074,2.230176,-0.866386,0.314671,2.153525,-0.624644,0.709026,2.275464,-0.807029,0.714548,1.994214,-0.749921,1.034711,2.462719,-0.848531,1.092362,2.105403,-0.701252,1.155815,2.378614,-0.782635,1.171245,1.992007,-0.681041,1.130393,2.451459,-0.860375,1.164139,2.008352,-0.807403,1.056348,2.518469,-0.869668,1.140530,2.169540,-0.570352,0.393047,1.991809,-0.759086,0.403697,2.134656,-0.527870,0.397910,2.006447,-0.787682,0.433933,2.117031,-0.530907,0.470097,2.025051,-0.774225,0.490360,2.163948,-0.516585,0.398082,2.069624,-0.844138,0.443837,2.145899
