frame,timestamp_s,body_id,tracking_state,confidence,joint_00_x,joint_00_y,joint_00_z,joint_01_x,joint_01_y,joint_01_z,joint_02_x,joint_02_y,joint_02_z,joint_03_x,joint_03_y,joint_03_z,joint_04_x,joint_04_y,joint_04_z,joint_05_x,joint_05_y,joint_05_z,joint_06_x,joint_06_y,joint_06_z,joint_07_x,joint_07_y,joint_07_z,joint_08_x,joint_08_y,joint_08_z,joint_09_x,joint_09_y,joint_09_z,joint_10_x,joint_10_y,joint_10_z,joint_11_x,joint_11_y,joint_11_z,joint_12_x,joint_12_y,joint_12_z,joint_13_x,joint_13_y,joint_13_z,joint_14_x,joint_14_y,joint_14_z,joint_15_x,joint_15_y,joint_15_z,joint_16_x,joint_16_y,joint_16_z,joint_17_x,joint_17_y,joint_17_z,joint_18_x,joint_18_y,joint_18_z,joint_19_x,joint_19_y,joint_19_z,joint_20_x,joint_20_y,joint_20_z,joint_21_x,joint_21_y,joint_21_z,joint_22_x,joint_22_y,joint_22_z,joint_23_x,joint_23_y,joint_23_z,joint_24_x,joint_24_y,joint_24_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z,joint_29_x,joint_29_y,joint_29_z,joint_30_x,joint_30_y,joint_30_z,joint_31_x,joint_31_y,joint_31_z,joint_32_x,joint_32_y,joint_32_z,joint_33_x,joint_33_y,joint_33_z,joint_34_x,joint_34_y,joint_34_z,joint_35_x,joint_35_y,joint_35_z,joint_36_x,joint_36_y,joint_36_z,joint_37_x,joint_37_y,joint_37_z
6149,211.011253,0,OK,97.19,-0.559037,0.307795,2.145923,-0.553091,0.241255,2.136819,-0.540455,0.118344,2.116521,-0.527043,-0.004850,2.098574,-0.509271,-0.166140,2.076646,-0.485362,-0.249793,1.932185,-0.454086,-0.304332,1.936338,-0.504365,-0.309859,1.931218,-0.428808,-0.308765,2.029427,-0.546125,-0.321661,2.017478,-0.460816,-0.120805,2.142068,-0.586972,-0.130906,2.114121,-0.359548,-0.114919,2.151057,-0.687706,-0.144038,2.106998,-0.275949,0.104532,2.142198,-0.797971,0.052074,2.174878,-0.219021,0.327784,2.095895,-0.840143,0.276575,2.119678,-0.478604,0.370428,2.179591,-0.649924,0.362142,2.128258,-0.471073,0.814482,2.197767,-0.682503,0.801078,2.190261,-0.542361,1.196389,2.312540,-0.711523,1.179058,2.333077,-0.517565,1.271414,2.179249,-0.666109,1.263180,2.214003,-0.476454,1.270686,2.247814,-0.739868,1.256765,2.244173,-0.578605,1.246706,2.368585,-0.718827,1.225867,2.401941,-0.251741,0.427175,2.069753,-0.792543,0.373015,2.111552,-0.212582,0.415065,2.063860,-0.833580,0.368799,2.107953,-0.183219,0.475722,2.064643,-0.851531,0.431445,2.125135,-0.176633,0.412865,2.109962,-0.865435,0.361651,2.156499
6150,211.043761,0,OK,97.52,-0.558309,0.302996,2.145749,-0.552084,0.236596,2.135840,-0.538351,0.114036,2.114181,-0.522489,-0.008667,2.094919,-0.501099,-0.169247,2.071082,-0.475084,-0.251765,1.926333,-0.443440,-0.306094,1.930453,-0.493620,-0.311965,1.924781,-0.419080,-0.310949,2.023764,-0.536167,-0.324647,2.010530,-0.453609,-0.123596,2.136992,-0.579535,-0.136221,2.109035,-0.352588,-0.113976,2.145523,-0.679969,-0.151260,2.101451,-0.287105,0.111033,2.127939,-0.789652,0.042812,2.175824,-0.244816,0.336939,2.078907,-0.829410,0.269969,2.130598,-0.478073,0.365590,2.179956,-0.649486,0.357133,2.128964,-0.476042,0.809139,2.208793,-0.671282,0.797709,2.183627,-0.549124,1.189219,2.328399,-0.691991,1.182107,2.309790,-0.524103,1.264694,2.195404,-0.639482,1.258517,2.188456,-0.483069,1.263679,2.264011,-0.714490,1.255885,2.216001,-0.585379,1.239374,2.384583,-0.700387,1.232638,2.375840,-0.285396,0.433039,2.051509,-0.777197,0.364335,2.129411,-0.245524,0.423819,2.045185,-0.818326,0.362336,2.125025,-0.220851,0.486529,2.044374,-0.833574,0.424526,2.146048,-0.208813,0.425245,2.090714,-0.851243,0.353595,2.172592
6151,211.076759,0,OK,97.25,-0.559405,0.299419,2.150218,-0.552922,0.233148,2.139632,-0.538035,0.110963,2.116657,-0.519728,-0.011144,2.095838,-0.494847,-0.170874,2.069789,-0.467125,-0.251488,1.924285,-0.435057,-0.305597,1.928002,-0.485146,-0.311817,1.921905,-0.411314,-0.311333,2.021423,-0.528187,-0.325847,2.007197,-0.448371,-0.125120,2.136346,-0.573989,-0.140091,2.108160,-0.347733,-0.111948,2.144656,-0.674052,-0.157120,2.099926,-0.299879,0.117118,2.123089,-0.785852,0.033184,2.180619,-0.275566,0.344816,2.070284,-0.822541,0.262031,2.141773,-0.479322,0.362035,2.184740,-0.650886,0.353307,2.134304,-0.482126,0.804816,2.223581,-0.658101,0.795842,2.175312,-0.557383,1.182710,2.348639,-0.665100,1.188939,2.272951,-0.531860,1.259081,2.216254,-0.605138,1.252959,2.147957,-0.491082,1.257597,2.285005,-0.681100,1.255634,2.172744,-0.593842,1.232487,2.405027,-0.673579,1.245011,2.334356,-0.325841,0.435728,2.041300,-0.765647,0.353558,2.146083,-0.285369,0.430284,2.034438,-0.806704,0.353867,2.140697,-0.266990,0.495062,2.031595,-0.819325,0.415753,2.164209,-0.248215,0.436501,2.079200,-0.841176,0.344703,2.187068
6152,211.109762,0,OK,97.24,-0.562177,0.297657,2.160625,-0.555516,0.231478,2.149585,-0.539599,0.109623,2.125572,-0.519090,-0.011881,2.103328,-0.491072,-0.170749,2.075266,-0.461763,-0.247723,1.928111,-0.429128,-0.301555,1.930762,-0.479115,-0.308172,1.924267,-0.405783,-0.309163,2.024149,-0.522420,-0.324603,2.008995,-0.445593,-0.124965,2.142488,-0.570854,-0.142005,2.113891,-0.345414,-0.108657,2.150774,-0.670507,-0.160917,2.104824,-0.312277,0.123026,2.129534,-0.787057,0.024726,2.189552,-0.305013,0.351241,2.073935,-0.819028,0.254245,2.150499,-0.482161,0.360320,2.195216,-0.653905,0.351336,2.145442,-0.489178,0.802486,2.240064,-0.645567,0.795065,2.170072,-0.566602,1.179268,2.367140,-0.635994,1.195189,2.232652,-0.539529,1.255405,2.234927,-0.568658,1.243942,2.104565,-0.499471,1.253918,2.304100,-0.645219,1.252441,2.125962,-0.603530,1.229203,2.423080,-0.643876,1.257310,2.288019,-0.364244,0.436103,2.043559,-0.757466,0.342490,2.157951,-0.323507,0.434474,2.036305,-0.798235,0.345091,2.151176,-0.311586,0.500651,2.031774,-0.808309,0.407300,2.175062,-0.286673,0.445341,2.080439,-0.834737,0.337287,2.196224
6153,211.142823,0,OK,97.12,-0.565363,0.298032,2.170710,-0.558559,0.231939,2.159252,-0.541660,0.110439,2.134135,-0.519129,-0.010428,2.110423,-0.488224,-0.168387,2.080336,-0.456908,-0.240317,1.931058,-0.423385,-0.293653,1.932239,-0.473222,-0.300900,1.925276,-0.400371,-0.303730,2.025475,-0.516657,-0.320640,2.009228,-0.443738,-0.122704,2.148287,-0.568603,-0.141577,2.119114,-0.344077,-0.103551,2.156731,-0.667817,-0.162212,2.109049,-0.322251,0.129822,2.139808,-0.790614,0.018882,2.194793,-0.327329,0.358613,2.086374,-0.816603,0.248242,2.150696,-0.485358,0.360737,2.205253,-0.657329,0.351519,2.156311,-0.496355,0.802301,2.254965,-0.636684,0.795429,2.165719,-0.576012,1.178198,2.383276,-0.612176,1.198775,2.194334,-0.546789,1.253717,2.251166,-0.539211,1.232802,2.064582,-0.507709,1.252340,2.320899,-0.615954,1.246146,2.082587,-0.613521,1.228494,2.438503,-0.619133,1.266037,2.243466,-0.392841,0.438740,2.056035,-0.750888,0.333292,2.159680,-0.352101,0.440205,2.048761,-0.791154,0.337896,2.151179,-0.345235,0.507096,2.044228,-0.798948,0.400867,2.173895,-0.316174,0.453833,2.092875,-0.829833,0.332608,2.194751
6154,211.179827,0,OK,97.17,-0.568487,0.301679,2.178598,-0.561545,0.235677,2.166704,-0.543789,0.114539,2.140456,-0.519567,-0.005730,2.115409,-0.486197,-0.162832,2.083523,-0.452680,-0.229917,1.932477,-0.418042,-0.282549,1.932356,-0.467681,-0.290646,1.924938,-0.395248,-0.294723,2.025396,-0.511073,-0.313617,2.008085,-0.442481,-0.117259,2.152046,-0.567014,-0.137720,2.122526,-0.343352,-0.095566,2.160611,-0.665790,-0.159916,2.111519,-0.330114,0.138734,2.148183,-0.795694,0.016906,2.195692,-0.342878,0.368310,2.099623,-0.818381,0.245570,2.146455,-0.488449,0.364450,2.212944,-0.660730,0.354940,2.165161,-0.502731,0.805400,2.267073,-0.632071,0.798502,2.163580,-0.584179,1.180384,2.396923,-0.596899,1.202059,2.167020,-0.552954,1.255375,2.264971,-0.520756,1.225092,2.036677,-0.514763,1.254033,2.335194,-0.597423,1.241606,2.052209,-0.622153,1.231011,2.451525,-0.602927,1.272738,2.211233,-0.411943,0.445823,2.070397,-0.750620,0.328833,2.156853,-0.371287,0.449321,2.063350,-0.790365,0.334456,2.146679,-0.367541,0.516531,2.060045,-0.797212,0.397967,2.168162,-0.336218,0.463814,2.107877,-0.830881,0.330949,2.188736
6155,211.209824,0,OK,96.98,-0.571427,0.306026,2.185521,-0.564269,0.240167,2.172987,-0.545618,0.119462,2.145395,-0.519909,-0.000203,2.118978,-0.484530,-0.156500,2.085347,-0.448709,-0.219704,1.933161,-0.412996,-0.271603,1.932172,-0.462412,-0.280556,1.924259,-0.390532,-0.285258,2.025086,-0.505836,-0.306146,2.006621,-0.441384,-0.111131,2.154364,-0.565652,-0.132864,2.124639,-0.342758,-0.087271,2.162975,-0.664034,-0.156370,2.112852,-0.336292,0.147451,2.153513,-0.801243,0.015954,2.194732,-0.353021,0.378017,2.111255,-0.824266,0.243869,2.142283,-0.491389,0.368896,2.219686,-0.664050,0.358939,2.173391,-0.507331,0.809396,2.276930,-0.631446,0.802168,2.165895,-0.588910,1.184102,2.407500,-0.590656,1.205070,2.155227,-0.556124,1.258063,2.275345,-0.512842,1.221596,2.024884,-0.518480,1.256863,2.345867,-0.589421,1.239809,2.038877,-0.626923,1.235336,2.461504,-0.596126,1.277604,2.196403,-0.423032,0.455331,2.083804,-0.756584,0.326983,2.154277,-0.382386,0.459631,2.077158,-0.795951,0.332660,2.142752,-0.379619,0.526956,2.075846,-0.803275,0.396358,2.163510,-0.347842,0.473326,2.122344,-0.837847,0.329616,2.183471
6156,211.248358,0,OK,97.08,-0.573713,0.308010,2.190064,-0.566339,0.242280,2.176982,-0.546820,0.122013,2.148113,-0.519816,0.002951,2.120295,-0.482739,-0.152526,2.084750,-0.444978,-0.211936,1.931508,-0.408173,-0.263043,1.929656,-0.457357,-0.272874,1.921347,-0.385801,-0.278060,2.022381,-0.500563,-0.300998,2.002994,-0.439901,-0.107459,2.154155,-0.564004,-0.130288,2.124561,-0.341736,-0.081713,2.162595,-0.662026,-0.154940,2.112138,-0.339737,0.153176,2.155551,-0.806632,0.012615,2.191134,-0.358103,0.384669,2.119498,-0.832962,0.239674,2.136573,-0.493657,0.371058,2.223855,-0.666734,0.360514,2.179272,-0.510010,0.811327,2.282739,-0.633112,0.803559,2.166925,-0.590480,1.186231,2.413425,-0.590460,1.205942,2.147538,-0.557114,1.258855,2.280675,-0.512576,1.218482,2.016793,-0.519484,1.257938,2.351208,-0.589050,1.237492,2.030285,-0.628096,1.238198,2.467006,-0.595523,1.279600,2.186723,-0.428375,0.462500,2.094264,-0.767027,0.323962,2.150010,-0.387732,0.467168,2.087848,-0.806142,0.328926,2.137356,-0.385243,0.534512,2.088604,-0.815098,0.392595,2.157557,-0.353345,0.479613,2.133513,-0.849110,0.325386,2.176902
6157,211.277368,0,OK,96.33,-0.574539,0.308414,2.191927,-0.567005,0.242795,2.178389,-0.546855,0.122899,2.148433,-0.518962,0.004335,2.119392,-0.480757,-0.150473,2.082160,-0.441194,-0.207069,1.928309,-0.403443,-0.257459,1.925939,-0.452397,-0.268080,1.917258,-0.381226,-0.273332,2.018559,-0.495453,-0.298113,1.998303,-0.438037,-0.105756,2.151865,-0.562056,-0.129294,2.122474,-0.340253,-0.078538,2.160107,-0.659780,-0.154898,2.109629,-0.340746,0.156419,2.155526,-0.811269,0.007660,2.186128,-0.359264,0.388717,2.125181,-0.842798,0.233843,2.130691,-0.494448,0.371607,2.225364,-0.667876,0.360580,2.182289,-0.510845,0.811859,2.284360,-0.636271,0.803766,2.169699,-0.589401,1.187654,2.413644,-0.595461,1.206319,2.149858,-0.556390,1.258457,2.279826,-0.517743,1.218658,2.018994,-0.518307,1.258107,2.350121,-0.594294,1.237372,2.032469,-0.626297,1.240522,2.466844,-0.600832,1.280119,2.188731,-0.429849,0.466965,2.102210,-0.779541,0.319910,2.145644,-0.389228,0.471969,2.095906,-0.818489,0.323803,2.132127,-0.386995,0.539274,2.098577,-0.829654,0.387174,2.152164,-0.354858,0.483243,2.141887,-0.862209,0.319023,2.170705
6158,211.311364,0,OK,96.56,-0.574722,0.302989,2.194975,-0.567008,0.237455,2.181130,-0.546209,0.117949,2.150075,-0.517645,-0.000084,2.119561,-0.478656,-0.154223,2.080415,-0.438085,-0.208790,1.926095,-0.399508,-0.258529,1.923303,-0.448276,-0.269876,1.914494,-0.377081,-0.274856,2.015794,-0.490874,-0.301334,1.995240,-0.435863,-0.110012,2.150398,-0.559880,-0.134010,2.121372,-0.338477,-0.081307,2.158299,-0.657330,-0.160464,2.108170,-0.340761,0.153682,2.157058,-0.815136,-0.003847,2.184292,-0.358528,0.386842,2.133679,-0.853121,0.221465,2.129361,-0.494604,0.366451,2.227833,-0.668400,0.354736,2.186458,-0.509573,0.807072,2.284398,-0.639101,0.797783,2.165916,-0.584360,1.184776,2.410313,-0.600281,1.200036,2.137762,-0.553246,1.253046,2.274736,-0.523722,1.209996,2.006016,-0.513907,1.253597,2.344334,-0.600256,1.228598,2.019737,-0.619903,1.238818,2.463253,-0.605720,1.274616,2.175109,-0.429386,0.465636,2.113597,-0.793102,0.309599,2.145568,-0.388794,0.470976,2.107388,-0.831985,0.312207,2.131567,-0.386747,0.538153,2.112397,-0.845610,0.375040,2.151778,-0.354356,0.480740,2.153662,-0.876002,0.305696,2.169550
6159,211.342868,0,OK,96.84,-0.574423,0.298143,2.196119,-0.566577,0.232676,2.182032,-0.545328,0.113488,2.150073,-0.516380,-0.004124,2.118321,-0.476992,-0.157738,2.077546,-0.435845,-0.213703,1.923880,-0.396852,-0.263147,1.921677,-0.445517,-0.274999,1.912963,-0.374365,-0.278242,2.014362,-0.487916,-0.305898,1.994029,-0.434014,-0.114010,2.147718,-0.558083,-0.138226,2.119102,-0.336943,-0.084180,2.155329,-0.655317,-0.165405,2.105780,-0.340328,0.150782,2.158032,-0.818489,-0.015791,2.184627,-0.356954,0.384631,2.141778,-0.864500,0.208706,2.132570,-0.494270,0.361829,2.228452,-0.668371,0.349547,2.188550,-0.508337,0.803013,2.280701,-0.646334,0.792846,2.164634,-0.579958,1.182975,2.401561,-0.614411,1.195534,2.134130,-0.550965,1.248680,2.264258,-0.539797,1.205353,2.001263,-0.510404,1.250302,2.333134,-0.616419,1.222911,2.015842,-0.614347,1.238105,2.454140,-0.620505,1.270391,2.170816,-0.428298,0.463606,2.124297,-0.808232,0.299080,2.149862,-0.387736,0.469411,2.118315,-0.847216,0.300225,2.135944,-0.386124,0.536392,2.125596,-0.863448,0.362154,2.156998,-0.353400,0.477824,2.164929,-0.890849,0.291360,2.173894
6160,211.378870,0,OK,97.59,-0.574483,0.283767,2.191904,-0.566289,0.218442,2.177362,-0.544322,0.099769,2.144003,-0.515041,-0.017231,2.110355,-0.475369,-0.170065,2.067002,-0.433671,-0.226551,1.913675,-0.394453,-0.275828,1.911776,-0.443047,-0.287939,1.903022,-0.372079,-0.290395,2.004573,-0.485465,-0.318654,1.984148,-0.432251,-0.127329,2.137698,-0.556358,-0.151450,2.109164,-0.335444,-0.096681,2.145411,-0.653436,-0.179066,2.095612,-0.339509,0.138151,2.153389,-0.819588,-0.035402,2.179161,-0.354911,0.372499,2.145029,-0.872962,0.188651,2.132493,-0.494553,0.347789,2.224128,-0.668818,0.334586,2.185244,-0.505367,0.789767,2.270061,-0.659104,0.778401,2.162775,-0.573507,1.172182,2.385053,-0.639594,1.182356,2.139383,-0.545387,1.235970,2.246668,-0.567240,1.196343,2.005641,-0.504222,1.238276,2.315166,-0.644103,1.211496,2.021585,-0.607169,1.228155,2.437210,-0.647250,1.256433,2.177337,-0.426065,0.452139,2.129955,-0.820482,0.281048,2.150962,-0.385461,0.458102,2.124424,-0.859630,0.280755,2.137466,-0.383821,0.524778,2.134101,-0.878302,0.341509,2.159881,-0.351396,0.464802,2.171512,-0.902417,0.269280,2.175678
