frame,timestamp_s,body_id,tracking_state,confidence,joint_00_x,joint_00_y,joint_00_z,joint_01_x,joint_01_y,joint_01_z,joint_02_x,joint_02_y,joint_02_z,joint_03_x,joint_03_y,joint_03_z,joint_04_x,joint_04_y,joint_04_z,joint_05_x,joint_05_y,joint_05_z,joint_06_x,joint_06_y,joint_06_z,joint_07_x,joint_07_y,joint_07_z,joint_08_x,joint_08_y,joint_08_z,joint_09_x,joint_09_y,joint_09_z,joint_10_x,joint_10_y,joint_10_z,joint_11_x,joint_11_y,joint_11_z,joint_12_x,joint_12_y,joint_12_z,joint_13_x,joint_13_y,joint_13_z,joint_14_x,joint_14_y,joint_14_z,joint_15_x,joint_15_y,joint_15_z,joint_16_x,joint_16_y,joint_16_z,joint_17_x,joint_17_y,joint_17_z,joint_18_x,joint_18_y,joint_18_z,joint_19_x,joint_19_y,joint_19_z,joint_20_x,joint_20_y,joint_20_z,joint_21_x,joint_21_y,joint_21_z,joint_22_x,joint_22_y,joint_22_z,joint_23_x,joint_23_y,joint_23_z,joint_24_x,joint_24_y,joint_24_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z,joint_29_x,joint_29_y,joint_29_z,joint_30_x,joint_30_y,joint_30_z,joint_31_x,joint_31_y,joint_31_z,joint_32_x,joint_32_y,joint_32_z,joint_33_x,joint_33_y,joint_33_z,joint_34_x,joint_34_y,joint_34_z,joint_35_x,joint_35_y,joint_35_z,joint_36_x,joint_36_y,joint_36_z,joint_37_x,joint_37_y,joint_37_z
2582,88.023086,0,OK,97.16,-0.663810,0.219500,2.060226,-0.662767,0.156754,2.044127,-0.661241,0.039987,2.015154,-0.657437,-0.076734,1.986205,-0.651428,-0.229331,1.948340,-0.632228,-0.365926,1.864796,-0.623815,-0.416298,1.896130,-0.668181,-0.411821,1.878615,-0.620137,-0.385682,1.981998,-0.723658,-0.375236,1.941129,-0.618014,-0.199763,2.026774,-0.729793,-0.189989,1.969645,-0.538745,-0.217267,2.083320,-0.823746,-0.171974,1.944430,-0.522752,-0.022572,2.254217,-0.878479,0.067158,2.029213,-0.501046,0.214668,2.151194,-0.790785,0.304830,1.972739,-0.585452,0.266797,2.114084,-0.744034,0.284412,2.035159,-0.595917,0.692420,2.200679,-0.797088,0.698988,2.153800,-0.638250,1.072818,2.302174,-0.835419,1.078661,2.259508,-0.598881,1.162516,2.181737,-0.816640,1.189360,2.155540,-0.565754,1.152874,2.253623,-0.883965,1.166798,2.191820,-0.680521,1.114706,2.359943,-0.838372,1.108019,2.337019,-0.572950,0.298429,2.106551,-0.701573,0.379644,1.997699,-0.532735,0.309113,2.124243,-0.741495,0.394921,1.982961,-0.546938,0.380328,2.141484,-0.737595,0.464147,2.010584,-0.526398,0.311127,2.188099,-0.790722,0.397970,2.024061
2583,88.056365,0,OK,96.87,-0.664974,0.211420,2.063036,-0.664240,0.148590,2.047250,-0.662022,0.031807,2.018385,-0.656557,-0.084794,1.989218,-0.648242,-0.237195,1.951005,-0.626414,-0.373293,1.867295,-0.617214,-0.423563,1.898571,-0.661599,-0.419832,1.880931,-0.614323,-0.393033,1.984499,-0.717891,-0.384328,1.943341,-0.614860,-0.207231,2.029303,-0.727122,-0.199201,1.972850,-0.534888,-0.223368,2.085262,-0.821609,-0.183259,1.948244,-0.519319,-0.026851,2.254102,-0.885478,0.051134,2.039613,-0.514306,0.202269,2.132256,-0.797452,0.287971,1.980225,-0.586129,0.258725,2.116172,-0.745133,0.276474,2.038130,-0.594761,0.684604,2.201705,-0.795510,0.692095,2.154253,-0.633762,1.066000,2.300753,-0.831388,1.072785,2.257124,-0.594516,1.153923,2.178973,-0.812151,1.181604,2.151272,-0.560877,1.144758,2.250684,-0.879429,1.160463,2.188486,-0.675114,1.108970,2.358393,-0.833285,1.103384,2.334189,-0.594352,0.277957,2.087056,-0.707814,0.362511,2.004472,-0.554010,0.292416,2.101472,-0.747684,0.377882,1.989693,-0.572095,0.363541,2.115065,-0.743382,0.447290,2.016797,-0.544097,0.299113,2.164550,-0.796821,0.381486,2.030857
2584,88.090890,0,OK,97.43,-0.665243,0.207869,2.064893,-0.664698,0.144957,2.049430,-0.661681,0.028137,2.020790,-0.654697,-0.088382,1.991619,-0.644333,-0.240635,1.953316,-0.620189,-0.376562,1.869964,-0.610213,-0.426600,1.901375,-0.654631,-0.423634,1.883672,-0.607928,-0.395819,1.987232,-0.711571,-0.388899,1.945925,-0.611031,-0.210208,2.031469,-0.723657,-0.203804,1.975537,-0.530527,-0.225125,2.087003,-0.818564,-0.189806,1.951365,-0.514792,-0.026720,2.253602,-0.892225,0.039904,2.047151,-0.524526,0.186794,2.106344,-0.803751,0.275424,1.983350,-0.586030,0.255316,2.117351,-0.745429,0.272927,2.040088,-0.593153,0.681451,2.201741,-0.792976,0.689697,2.153251,-0.628909,1.063868,2.298040,-0.826273,1.071430,2.253082,-0.590153,1.150274,2.175025,-0.806578,1.178416,2.145462,-0.555897,1.141550,2.246498,-0.873792,1.158689,2.183555,-0.669366,1.107729,2.355644,-0.827115,1.103185,2.329695,-0.611245,0.252510,2.057966,-0.713731,0.349708,2.006959,-0.571225,0.270702,2.068541,-0.753441,0.365134,1.991809,-0.593018,0.341736,2.075597,-0.748800,0.434873,2.017992,-0.558676,0.284706,2.129927,-0.802720,0.369609,2.032718
2585,88.121889,0,OK,97.34,-0.665072,0.208279,2.065717,-0.664658,0.145294,2.050552,-0.660964,0.028435,2.022150,-0.652765,-0.088017,1.993027,-0.640797,-0.240154,1.954729,-0.613323,-0.375679,1.871756,-0.602422,-0.425433,1.903310,-0.646808,-0.423458,1.885387,-0.601219,-0.394454,1.989118,-0.704785,-0.389847,1.947300,-0.607548,-0.209319,2.032744,-0.720454,-0.204230,1.977245,-0.526665,-0.223244,2.087985,-0.815673,-0.191904,1.953391,-0.510418,-0.021052,2.249919,-0.897367,0.034691,2.050079,-0.531467,0.174659,2.080739,-0.808439,0.268513,1.980894,-0.585566,0.255905,2.117564,-0.745320,0.273291,2.040987,-0.591463,0.682257,2.200950,-0.789709,0.691166,2.151321,-0.624075,1.065671,2.294356,-0.820136,1.073842,2.248419,-0.585886,1.150690,2.170203,-0.800048,1.179224,2.139298,-0.551021,1.142377,2.241431,-0.867171,1.160814,2.178204,-0.663689,1.110329,2.351933,-0.819925,1.106559,2.324631,-0.622892,0.231142,2.029454,-0.718254,0.342879,2.003594,-0.583415,0.252049,2.036437,-0.757791,0.358161,1.987859,-0.608257,0.322428,2.037019,-0.753018,0.428402,2.012639,-0.569307,0.272944,2.095481,-0.807326,0.363686,2.028328
2586,88.149976,0,OK,97.57,-0.665981,0.218458,2.067991,-0.665473,0.155417,2.053060,-0.660901,0.038509,2.024987,-0.651592,-0.077918,1.996100,-0.638223,-0.230008,1.958083,-0.608219,-0.365250,1.875524,-0.596752,-0.414777,1.907233,-0.641057,-0.413506,1.889050,-0.596516,-0.383630,1.992989,-0.699895,-0.380665,1.950562,-0.605148,-0.198701,2.035984,-0.718186,-0.194806,1.980655,-0.524091,-0.211753,2.091182,-0.813603,-0.183990,1.956864,-0.506966,-0.007339,2.250208,-0.903111,0.039336,2.054238,-0.535552,0.175551,2.068269,-0.815432,0.272324,1.980772,-0.586416,0.266456,2.119403,-0.746456,0.283195,2.043281,-0.590745,0.692752,2.203164,-0.788642,0.701759,2.151853,-0.620360,1.076707,2.295343,-0.817095,1.084883,2.247777,-0.582566,1.160837,2.170465,-0.796801,1.189170,2.137648,-0.547190,1.152626,2.241452,-0.863803,1.171744,2.177209,-0.659191,1.121930,2.353011,-0.815979,1.118214,2.323715,-0.630050,0.225693,2.015971,-0.725649,0.347417,2.002660,-0.591074,0.248181,2.020387,-0.765164,0.362275,1.986470,-0.618086,0.317673,2.016955,-0.760787,0.432944,2.010077,-0.576045,0.273454,2.077460,-0.814925,0.368290,2.026590
2587,88.184976,0,OK,97.45,-0.668087,0.235309,2.069807,-0.667338,0.172205,2.055156,-0.661798,0.055203,2.027653,-0.651492,-0.061294,1.999395,-0.636876,-0.213488,1.962260,-0.605110,-0.348621,1.880185,-0.593126,-0.397911,1.912072,-0.637405,-0.397219,1.893795,-0.593438,-0.366499,1.997731,-0.696755,-0.364883,1.955083,-0.603886,-0.181420,2.039888,-0.717090,-0.178855,1.984823,-0.522669,-0.193312,2.095114,-0.812690,-0.169517,1.961137,-0.504651,0.013039,2.251519,-0.908726,0.051026,2.058635,-0.538540,0.191510,2.066134,-0.825094,0.284630,1.982459,-0.588574,0.283900,2.120741,-0.748938,0.299566,2.045074,-0.591094,0.710035,2.205393,-0.788795,0.718522,2.153009,-0.618052,1.094226,2.297403,-0.815188,1.101593,2.249729,-0.580526,1.177760,2.172045,-0.794646,1.205304,2.139102,-0.544725,1.169489,2.242811,-0.861521,1.188713,2.179231,-0.656173,1.139872,2.355212,-0.813139,1.135157,2.325544,-0.634958,0.238920,2.014802,-0.736398,0.361159,2.003798,-0.596281,0.262136,2.017882,-0.776107,0.375325,1.987462,-0.624528,0.331083,2.013513,-0.772747,0.446238,2.010500,-0.580473,0.288916,2.074050,-0.825979,0.380961,2.027499
2588,88.216975,0,OK,97.20,-0.670296,0.256107,2.071864,-0.669204,0.192963,2.057411,-0.662741,0.075856,2.030565,-0.651674,-0.040798,2.003258,-0.636158,-0.193273,1.967671,-0.603370,-0.328528,1.886201,-0.590744,-0.377515,1.918306,-0.635107,-0.377376,1.900220,-0.591003,-0.345634,2.003791,-0.694517,-0.345308,1.961591,-0.603047,-0.160153,2.044804,-0.716512,-0.158962,1.990229,-0.521596,-0.170656,2.099967,-0.812299,-0.150934,1.966826,-0.502160,0.037678,2.253548,-0.913125,0.067619,2.063968,-0.538760,0.219330,2.071804,-0.837532,0.303968,1.987857,-0.590903,0.305361,2.122346,-0.751641,0.319776,2.047225,-0.591914,0.731116,2.208919,-0.789490,0.738639,2.156239,-0.616730,1.115212,2.301918,-0.814107,1.121215,2.255357,-0.579280,1.198359,2.176280,-0.793478,1.224703,2.144538,-0.543164,1.189905,2.246865,-0.860186,1.208742,2.185199,-0.654224,1.161182,2.359881,-0.811150,1.154777,2.331143,-0.635939,0.267514,2.022673,-0.751149,0.383193,2.008842,-0.597217,0.290684,2.025522,-0.791389,0.396146,1.992802,-0.625517,0.359687,2.022640,-0.790111,0.467068,2.016020,-0.580556,0.316600,2.081849,-0.841152,0.400104,2.033175
2589,88.251487,0,OK,97.46,-0.670137,0.275614,2.072037,-0.668589,0.212464,2.057649,-0.661236,0.095237,2.031565,-0.649656,-0.021669,2.005583,-0.633536,-0.174516,1.971914,-0.600309,-0.309941,1.890906,-0.587231,-0.358703,1.923172,-0.631680,-0.358917,1.905298,-0.587279,-0.326432,2.008511,-0.690992,-0.326931,1.966806,-0.600298,-0.140242,2.048486,-0.713970,-0.140301,1.994331,-0.518688,-0.149314,2.103668,-0.809893,-0.133207,1.971184,-0.497858,0.061187,2.254079,-0.913952,0.084345,2.067155,-0.534414,0.252342,2.082350,-0.850813,0.325286,1.994155,-0.590980,0.325552,2.122216,-0.752061,0.338607,2.047585,-0.591143,0.750602,2.212193,-0.788708,0.756768,2.159664,-0.614934,1.134056,2.308062,-0.812251,1.138439,2.262462,-0.577362,1.217202,2.182460,-0.791685,1.241848,2.151558,-0.541078,1.208393,2.252915,-0.858216,1.226321,2.192674,-0.651958,1.180151,2.366228,-0.808537,1.171935,2.338244,-0.631400,0.304084,2.036569,-0.768359,0.408663,2.014859,-0.592354,0.326598,2.040163,-0.809447,0.419681,1.999539,-0.619776,0.396010,2.040916,-0.811509,0.490312,2.023572,-0.574842,0.349526,2.097518,-0.858752,0.420598,2.040651
2590,88.286487,0,OK,96.31,-0.669829,0.284806,2.072479,-0.667848,0.221657,2.058144,-0.659701,0.104340,2.032711,-0.647673,-0.012769,2.007868,-0.631029,-0.165913,1.975846,-0.595584,-0.299113,1.892132,-0.581392,-0.348208,1.923408,-0.625919,-0.348956,1.905746,-0.581631,-0.317556,2.009342,-0.685527,-0.319302,1.968129,-0.597694,-0.130655,2.051928,-0.711533,-0.131780,1.998135,-0.515954,-0.138282,2.107136,-0.807563,-0.125339,1.975239,-0.494575,0.077303,2.250083,-0.912956,0.093058,2.067775,-0.527056,0.280615,2.092041,-0.864792,0.338443,1.998245,-0.590912,0.335380,2.122400,-0.752287,0.347164,2.048193,-0.591200,0.759793,2.215334,-0.787865,0.764670,2.163022,-0.614916,1.142620,2.313697,-0.810438,1.145640,2.268602,-0.577094,1.225571,2.188042,-0.789849,1.248662,2.157343,-0.540766,1.216589,2.258451,-0.856256,1.233617,2.198837,-0.651641,1.188899,2.371906,-0.806141,1.179296,2.344282,-0.622499,0.337802,2.049619,-0.787686,0.427140,2.017392,-0.582882,0.358985,2.054729,-0.829775,0.435401,2.003087,-0.608457,0.428906,2.059984,-0.836030,0.505661,2.027479,-0.564941,0.377641,2.113482,-0.878044,0.432864,2.045343
2591,88.320486,0,OK,96.61,-0.669330,0.289162,2.073007,-0.666942,0.226016,2.058717,-0.658088,0.108631,2.033842,-0.645665,-0.008639,2.009969,-0.628556,-0.162018,1.979345,-0.590066,-0.290170,1.889335,-0.574133,-0.340191,1.918213,-0.618793,-0.341458,1.900920,-0.574411,-0.313491,2.005455,-0.678618,-0.316447,1.965104,-0.595160,-0.125929,2.055009,-0.709126,-0.127960,2.001514,-0.513291,-0.131903,2.110230,-0.805237,-0.121944,1.978845,-0.490244,0.092219,2.239095,-0.910625,0.098226,2.067087,-0.510318,0.319561,2.115479,-0.883134,0.348963,2.005908,-0.590654,0.340323,2.122709,-0.752275,0.350925,2.048859,-0.591625,0.764073,2.218617,-0.787402,0.767743,2.166297,-0.615836,1.146204,2.319536,-0.809559,1.148119,2.274081,-0.577709,1.228899,2.193804,-0.789069,1.250527,2.162239,-0.541393,1.219815,2.264207,-0.855361,1.235906,2.204068,-0.652342,1.192682,2.377723,-0.804851,1.182130,2.349578,-0.601191,0.388653,2.081604,-0.814032,0.444232,2.024019,-0.560422,0.406186,2.090255,-0.857182,0.448704,2.011273,-0.581649,0.475979,2.106035,-0.869120,0.517710,2.037086,-0.542422,0.414392,2.151333,-0.903499,0.441038,2.055067
