frame,timestamp_s,body_id,tracking_state,confidence,joint_00_x,joint_00_y,joint_00_z,joint_01_x,joint_01_y,joint_01_z,joint_02_x,joint_02_y,joint_02_z,joint_03_x,joint_03_y,joint_03_z,joint_04_x,joint_04_y,joint_04_z,joint_05_x,joint_05_y,joint_05_z,joint_06_x,joint_06_y,joint_06_z,joint_07_x,joint_07_y,joint_07_z,joint_08_x,joint_08_y,joint_08_z,joint_09_x,joint_09_y,joint_09_z,joint_10_x,joint_10_y,joint_10_z,joint_11_x,joint_11_y,joint_11_z,joint_12_x,joint_12_y,joint_12_z,joint_13_x,joint_13_y,joint_13_z,joint_14_x,joint_14_y,joint_14_z,joint_15_x,joint_15_y,joint_15_z,joint_16_x,joint_16_y,joint_16_z,joint_17_x,joint_17_y,joint_17_z,joint_18_x,joint_18_y,joint_18_z,joint_19_x,joint_19_y,joint_19_z,joint_20_x,joint_20_y,joint_20_z,joint_21_x,joint_21_y,joint_21_z,joint_22_x,joint_22_y,joint_22_z,joint_23_x,joint_23_y,joint_23_z,joint_24_x,joint_24_y,joint_24_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z,joint_29_x,joint_29_y,joint_29_z,joint_30_x,joint_30_y,joint_30_z,joint_31_x,joint_31_y,joint_31_z,joint_32_x,joint_32_y,joint_32_z,joint_33_x,joint_33_y,joint_33_z,joint_34_x,joint_34_y,joint_34_z,joint_35_x,joint_35_y,joint_35_z,joint_36_x,joint_36_y,joint_36_z,joint_37_x,joint_37_y,joint_37_z
9365,327.017119,0,OK,97.94,-0.621885,0.153737,2.099491,-0.611991,0.091148,2.098176,-0.599143,-0.025824,2.095567,-0.591361,-0.143262,2.094105,-0.582403,-0.296915,2.092533,-0.562584,-0.439762,2.012156,-0.549318,-0.488534,2.049017,-0.598804,-0.486347,2.032928,-0.540240,-0.452113,2.138441,-0.655708,-0.447010,2.100899,-0.554302,-0.250632,2.161560,-0.659765,-0.256147,2.099582,-0.469628,-0.249007,2.207215,-0.749078,-0.244936,2.065609,-0.365283,-0.017079,2.169031,-0.836949,-0.027414,1.960258,-0.364981,0.033302,1.916844,-0.680657,0.020508,1.761732,-0.552276,0.226752,2.151057,-0.710947,0.203782,2.050511,-0.564893,0.688132,2.224180,-0.737584,0.669214,2.018249,-0.620142,1.102062,2.307851,-0.819482,1.074253,2.121340,-0.518516,1.153965,2.189372,-0.758366,1.192776,2.029131,-0.510860,1.153911,2.273665,-0.839088,1.168118,2.035442,-0.665449,1.169281,2.343109,-0.855855,1.105972,2.195402,-0.449612,0.019239,1.823639,-0.558821,0.041811,1.734351,-0.402581,0.021904,1.814199,-0.591693,0.037778,1.699548,-0.407350,0.046816,1.738861,-0.553448,0.078277,1.642835,-0.372500,0.082768,1.815286,-0.632504,0.090564,1.686960
9366,327.053122,0,OK,97.78,-0.622389,0.154654,2.097690,-0.612123,0.092130,2.096159,-0.599166,-0.024814,2.092915,-0.591351,-0.142238,2.090671,-0.582300,-0.295870,2.088049,-0.563309,-0.437128,2.004717,-0.550487,-0.486763,2.040570,-0.599916,-0.483877,2.024414,-0.541372,-0.452307,2.130765,-0.656705,-0.445573,2.093066,-0.553652,-0.250006,2.157131,-0.659628,-0.255206,2.096006,-0.468545,-0.249045,2.201992,-0.749218,-0.244039,2.062757,-0.359095,-0.022384,2.149250,-0.835963,-0.031763,1.946350,-0.366443,0.006393,1.893801,-0.675526,-0.002682,1.747477,-0.552274,0.228096,2.147945,-0.712690,0.204144,2.050445,-0.568653,0.689320,2.221312,-0.745687,0.669580,2.024788,-0.618210,1.104941,2.300011,-0.823270,1.076616,2.123242,-0.518860,1.154083,2.178464,-0.762707,1.190822,2.025393,-0.509264,1.155213,2.262550,-0.843674,1.168114,2.035008,-0.662062,1.173117,2.335275,-0.856612,1.111438,2.197337,-0.452574,-0.011528,1.802654,-0.552559,0.011958,1.720791,-0.405606,-0.010881,1.792570,-0.584963,0.006041,1.685818,-0.410591,0.008963,1.715755,-0.544334,0.040110,1.626592,-0.373803,0.049015,1.789174,-0.623631,0.058902,1.667904
9367,327.085148,0,OK,95.23,-0.622706,0.156395,2.096595,-0.612137,0.093928,2.094855,-0.599087,-0.022988,2.091020,-0.591244,-0.140394,2.088050,-0.582116,-0.294002,2.084447,-0.564241,-0.432675,1.996647,-0.551912,-0.483547,2.030905,-0.601288,-0.479707,2.014787,-0.542632,-0.452084,2.122171,-0.657843,-0.443124,2.084563,-0.552993,-0.248530,2.153590,-0.659409,-0.253437,2.093209,-0.467531,-0.248243,2.197780,-0.749192,-0.242310,2.060469,-0.356038,-0.026290,2.131128,-0.834646,-0.034180,1.935907,-0.366977,-0.014111,1.874479,-0.676724,-0.014354,1.733907,-0.552190,0.230174,2.145787,-0.714004,0.205440,2.050822,-0.571218,0.691152,2.220051,-0.752466,0.670779,2.031904,-0.618688,1.107320,2.297135,-0.827741,1.078717,2.128400,-0.522204,1.155852,2.173060,-0.768279,1.189886,2.026464,-0.510674,1.157455,2.256896,-0.849247,1.168423,2.038602,-0.661770,1.175661,2.333022,-0.858799,1.115639,2.202471,-0.452659,-0.033398,1.783188,-0.553831,-0.002055,1.705739,-0.405606,-0.033869,1.773498,-0.586560,-0.009080,1.671278,-0.409619,-0.016354,1.696063,-0.546064,0.022117,1.610402,-0.372741,0.025339,1.768517,-0.624852,0.043384,1.651487
9368,327.118646,0,OK,97.55,-0.629698,0.166974,2.097774,-0.619022,0.104540,2.095547,-0.606390,-0.012385,2.090722,-0.599047,-0.129790,2.086666,-0.590450,-0.283390,2.081666,-0.569454,-0.418639,1.989332,-0.556941,-0.470524,2.021964,-0.606127,-0.466754,2.005258,-0.549401,-0.442183,2.114405,-0.664168,-0.433386,2.075423,-0.561566,-0.238677,2.151401,-0.667647,-0.242628,2.090365,-0.476335,-0.239727,2.196025,-0.757152,-0.231083,2.057018,-0.360778,-0.024193,2.116477,-0.837973,-0.026123,1.924368,-0.371072,-0.021905,1.859524,-0.686932,-0.008063,1.717011,-0.558805,0.240605,2.146643,-0.721584,0.216100,2.053284,-0.578915,0.700997,2.224186,-0.767382,0.681096,2.045559,-0.626784,1.116528,2.304395,-0.843450,1.088514,2.143615,-0.533288,1.166683,2.178689,-0.784964,1.198019,2.039340,-0.520035,1.167816,2.262277,-0.865849,1.177147,2.052974,-0.669661,1.184271,2.341636,-0.873200,1.126569,2.217650,-0.455155,-0.038426,1.766225,-0.564997,0.003988,1.684853,-0.407924,-0.040152,1.757599,-0.598794,-0.003398,1.651516,-0.409695,-0.022197,1.680180,-0.560259,0.027190,1.589078,-0.373342,0.018149,1.753655,-0.637725,0.048850,1.632412
9369,327.146647,0,OK,96.72,-0.639406,0.180043,2.097955,-0.628756,0.117625,2.095231,-0.616582,0.000699,2.089353,-0.609667,-0.116685,2.084113,-0.601538,-0.270252,2.077546,-0.576271,-0.401779,1.981002,-0.563040,-0.454460,2.012036,-0.612067,-0.451202,1.994767,-0.557387,-0.429130,2.105481,-0.671785,-0.421528,2.065185,-0.573185,-0.226390,2.148035,-0.678678,-0.229318,2.085931,-0.488394,-0.228865,2.193433,-0.767766,-0.217319,2.051640,-0.368908,-0.019907,2.102900,-0.841523,-0.013813,1.912780,-0.374860,-0.022302,1.845810,-0.699812,0.006600,1.699150,-0.568115,0.253345,2.146743,-0.731636,0.229469,2.054524,-0.587433,0.713141,2.227931,-0.784006,0.693818,2.058497,-0.636723,1.127396,2.313688,-0.860839,1.100523,2.158891,-0.546698,1.180249,2.186561,-0.803264,1.208646,2.052684,-0.531562,1.180479,2.269836,-0.884051,1.188273,2.067597,-0.679524,1.194147,2.352763,-0.889456,1.139500,2.232892,-0.455903,-0.033709,1.749118,-0.579319,0.018663,1.661957,-0.408448,-0.036370,1.742111,-0.614540,0.011832,1.630005,-0.406986,-0.015938,1.665302,-0.578593,0.043114,1.566378,-0.372331,0.021122,1.741285,-0.654047,0.064460,1.613271
9370,327.177643,0,OK,97.31,-0.649736,0.196130,2.097038,-0.639176,0.133716,2.093884,-0.627427,0.016814,2.086805,-0.620816,-0.100510,2.080031,-0.613024,-0.253986,2.071298,-0.583561,-0.381942,1.971210,-0.568999,-0.435093,2.000814,-0.618012,-0.432726,1.983359,-0.564532,-0.412290,2.094971,-0.678897,-0.406766,2.054244,-0.585109,-0.211225,2.142634,-0.690123,-0.212974,2.079681,-0.500671,-0.215256,2.188577,-0.778863,-0.200462,2.044678,-0.377741,-0.012200,2.089619,-0.843347,0.003709,1.902227,-0.376016,-0.010798,1.832458,-0.708217,0.025467,1.684505,-0.578012,0.269077,2.145723,-0.742222,0.245901,2.054554,-0.595417,0.728300,2.230508,-0.800240,0.709305,2.070937,-0.646891,1.140761,2.323336,-0.877574,1.114922,2.175270,-0.560847,1.196688,2.194776,-0.820975,1.221882,2.067374,-0.543595,1.195908,2.277636,-0.901642,1.202056,2.083608,-0.689563,1.206344,2.364475,-0.904924,1.154644,2.249354,-0.452644,-0.014614,1.731657,-0.588722,0.035636,1.643702,-0.404975,-0.017920,1.726674,-0.625077,0.030172,1.612774,-0.399509,0.007001,1.651387,-0.590475,0.061872,1.548611,-0.367732,0.038692,1.730972,-0.663919,0.083945,1.598275
9371,327.215709,0,OK,97.21,-0.653866,0.203416,2.096969,-0.643404,0.141006,2.093449,-0.632014,0.024135,2.085340,-0.625652,-0.093120,2.077255,-0.618137,-0.246492,2.066666,-0.585943,-0.367291,1.958824,-0.569518,-0.421656,1.985056,-0.618756,-0.419722,1.968191,-0.564761,-0.404401,2.080372,-0.679650,-0.399889,2.041020,-0.590586,-0.204683,2.138703,-0.695199,-0.205415,2.075067,-0.506453,-0.209925,2.185081,-0.783620,-0.192294,2.039482,-0.384345,-0.008944,2.081000,-0.838847,0.013838,1.895970,-0.371744,0.005096,1.824523,-0.711054,0.040328,1.674376,-0.581793,0.276029,2.145636,-0.746511,0.253515,2.055222,-0.597761,0.734806,2.233083,-0.807304,0.716102,2.081580,-0.652035,1.145365,2.332514,-0.883915,1.120730,2.190198,-0.570402,1.204175,2.202374,-0.828134,1.226697,2.080905,-0.550849,1.202599,2.284709,-0.908693,1.207456,2.098339,-0.694486,1.209786,2.375667,-0.910030,1.161061,2.264400,-0.443759,0.010576,1.720450,-0.592527,0.049144,1.630546,-0.395898,0.007802,1.717337,-0.629850,0.045624,1.600501,-0.387199,0.039619,1.645010,-0.596285,0.078756,1.536510,-0.359188,0.063813,1.728543,-0.667762,0.100767,1.588992
9372,327.248717,0,OK,97.08,-0.655707,0.207781,2.096888,-0.645343,0.145373,2.093044,-0.634269,0.028538,2.084030,-0.628135,-0.088643,2.074794,-0.620883,-0.241908,2.062580,-0.587065,-0.350477,1.942882,-0.568616,-0.406630,1.963377,-0.618174,-0.404556,1.947495,-0.562713,-0.398690,2.059853,-0.678348,-0.393851,2.022794,-0.593637,-0.200942,2.135216,-0.697904,-0.200759,2.071009,-0.509905,-0.207446,2.182156,-0.786024,-0.186699,2.035038,-0.392409,-0.003550,2.078439,-0.834380,0.022080,1.892879,-0.368879,0.030110,1.824569,-0.713180,0.056374,1.668668,-0.583356,0.280073,2.145619,-0.748437,0.258195,2.055714,-0.597768,0.738563,2.234822,-0.810946,0.719974,2.090792,-0.654313,1.147407,2.339894,-0.886951,1.123219,2.204844,-0.577162,1.208336,2.208006,-0.832194,1.228722,2.094589,-0.555238,1.206293,2.289731,-0.912592,1.209800,2.113086,-0.696284,1.210927,2.384817,-0.911991,1.163823,2.279266,-0.437565,0.043428,1.718965,-0.595195,0.065953,1.623554,-0.389566,0.042205,1.717306,-0.632994,0.064450,1.593938,-0.379429,0.080867,1.648592,-0.599924,0.100408,1.531227,-0.354897,0.097859,1.734947,-0.670335,0.120581,1.585847
9373,327.285830,0,OK,97.12,-0.665782,0.230554,2.086891,-0.655502,0.168147,2.082806,-0.644484,0.051361,2.073115,-0.638287,-0.065770,2.063299,-0.630940,-0.218975,2.050416,-0.596677,-0.324534,1.928178,-0.577140,-0.380793,1.947330,-0.626887,-0.379181,1.931993,-0.570357,-0.374729,2.043883,-0.686434,-0.370968,2.008099,-0.604312,-0.178359,2.123476,-0.708027,-0.177860,2.058384,-0.521087,-0.185680,2.171190,-0.795721,-0.163289,2.021585,-0.405629,0.021163,2.071081,-0.835595,0.047301,1.879464,-0.373817,0.074040,1.821425,-0.715250,0.088086,1.655879,-0.593158,0.302609,2.135567,-0.758619,0.281201,2.046248,-0.603778,0.759517,2.233035,-0.823737,0.741424,2.094536,-0.662150,1.164571,2.350999,-0.901160,1.140175,2.222576,-0.589058,1.229466,2.218691,-0.848045,1.247558,2.113338,-0.564973,1.225636,2.299741,-0.928160,1.228405,2.132799,-0.703503,1.226557,2.398560,-0.924930,1.179479,2.298105,-0.440378,0.095352,1.715770,-0.596817,0.097853,1.611994,-0.392341,0.094989,1.715134,-0.634411,0.098012,1.582080,-0.381347,0.139553,1.650231,-0.600411,0.135953,1.521059,-0.359009,0.149432,1.738273,-0.670958,0.154907,1.575938
9374,327.329326,0,OK,96.93,-0.670422,0.241813,2.081276,-0.660227,0.179406,2.076985,-0.649256,0.062664,2.066726,-0.643008,-0.054423,2.056432,-0.635589,-0.207578,2.043001,-0.604703,-0.309402,1.916761,-0.585149,-0.366364,1.933688,-0.635203,-0.363953,1.919497,-0.576245,-0.363420,2.030215,-0.693037,-0.357795,1.997104,-0.609460,-0.167252,2.116401,-0.712726,-0.166484,2.050599,-0.526640,-0.175216,2.164712,-0.799980,-0.151461,2.012949,-0.416547,0.039453,2.075644,-0.834748,0.061432,1.872933,-0.378328,0.122961,1.835431,-0.715432,0.112469,1.650908,-0.597584,0.313642,2.129968,-0.763304,0.292686,2.041022,-0.605160,0.768958,2.234886,-0.828106,0.751690,2.100132,-0.665133,1.170289,2.364223,-0.904555,1.146530,2.240303,-0.595375,1.238384,2.231724,-0.852763,1.255059,2.131563,-0.569514,1.233092,2.312142,-0.932631,1.236029,2.152127,-0.705874,1.230993,2.413917,-0.926862,1.184971,2.316717,-0.443867,0.155033,1.731877,-0.596766,0.125303,1.608468,-0.395837,0.156114,1.732116,-0.634150,0.126788,1.578328,-0.385204,0.208515,1.673293,-0.599986,0.168104,1.519634,-0.364541,0.208272,1.762292,-0.671045,0.183687,1.574913
