frame,timestamp_s,body_id,tracking_state,confidence,joint_00_x,joint_00_y,joint_00_z,joint_01_x,joint_01_y,joint_01_z,joint_02_x,joint_02_y,joint_02_z,joint_03_x,joint_03_y,joint_03_z,joint_04_x,joint_04_y,joint_04_z,joint_05_x,joint_05_y,joint_05_z,joint_06_x,joint_06_y,joint_06_z,joint_07_x,joint_07_y,joint_07_z,joint_08_x,joint_08_y,joint_08_z,joint_09_x,joint_09_y,joint_09_z,joint_10_x,joint_10_y,joint_10_z,joint_11_x,joint_11_y,joint_11_z,joint_12_x,joint_12_y,joint_12_z,joint_13_x,joint_13_y,joint_13_z,joint_14_x,joint_14_y,joint_14_z,joint_15_x,joint_15_y,joint_15_z,joint_16_x,joint_16_y,joint_16_z,joint_17_x,joint_17_y,joint_17_z,joint_18_x,joint_18_y,joint_18_z,joint_19_x,joint_19_y,joint_19_z,joint_20_x,joint_20_y,joint_20_z,joint_21_x,joint_21_y,joint_21_z,joint_22_x,joint_22_y,joint_22_z,joint_23_x,joint_23_y,joint_23_z,joint_24_x,joint_24_y,joint_24_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z,joint_29_x,joint_29_y,joint_29_z,joint_30_x,joint_30_y,joint_30_z,joint_31_x,joint_31_y,joint_31_z,joint_32_x,joint_32_y,joint_32_z,joint_33_x,joint_33_y,joint_33_z,joint_34_x,joint_34_y,joint_34_z,joint_35_x,joint_35_y,joint_35_z,joint_36_x,joint_36_y,joint_36_z,joint_37_x,joint_37_y,joint_37_z
2618,89.017596,0,OK,97.29,-0.717285,0.233870,2.100825,-0.708969,0.169109,2.084031,-0.694780,0.048730,2.052663,-0.681464,-0.071406,2.020005,-0.664307,-0.228408,1.976839,-0.656733,-0.256782,1.810770,-0.634235,-0.312895,1.793011,-0.684861,-0.309230,1.790076,-0.608002,-0.354024,1.876340,-0.726130,-0.345473,1.869492,-0.644890,-0.199864,2.063395,-0.748687,-0.190034,1.986383,-0.569893,-0.228471,2.126081,-0.824406,-0.191460,1.918288,-0.516147,-0.073053,2.293766,-0.926736,-0.052322,2.077445,-0.530065,0.082380,2.118243,-1.007533,0.125545,2.207816,-0.650863,0.287133,2.166168,-0.798322,0.294434,2.064997,-0.636875,0.730896,2.184470,-0.831938,0.735061,2.111619,-0.686225,1.122911,2.273352,-0.858559,1.113663,2.252911,-0.664216,1.211855,2.148419,-0.810359,1.211898,2.146429,-0.623459,1.206136,2.216935,-0.884643,1.202525,2.174398,-0.724974,1.165711,2.333773,-0.866533,1.151248,2.327125,-0.589548,0.130230,2.042127,-0.948427,0.210318,2.238500,-0.549422,0.139156,2.046975,-0.989760,0.212120,2.237248,-0.549557,0.200658,2.019496,-0.998869,0.261835,2.281780,-0.533612,0.174380,2.090894,-1.020264,0.187117,2.280421
2619,89.045111,0,OK,97.49,-0.716994,0.233386,2.099167,-0.708583,0.168635,2.082382,-0.693851,0.048330,2.050982,-0.679910,-0.071678,2.018116,-0.661907,-0.228503,1.974651,-0.658974,-0.257361,1.808517,-0.637806,-0.313858,1.790344,-0.688428,-0.309410,1.788678,-0.610119,-0.355206,1.873092,-0.728235,-0.344827,1.869204,-0.642605,-0.200013,2.061250,-0.746493,-0.190613,1.984306,-0.567614,-0.228417,2.124034,-0.822308,-0.192388,1.916327,-0.512246,-0.075384,2.293378,-0.922055,-0.055696,2.079200,-0.526142,0.084285,2.121696,-1.007950,0.112091,2.219311,-0.650513,0.286824,2.164306,-0.798259,0.293756,2.063530,-0.639062,0.730483,2.186480,-0.831812,0.734445,2.109618,-0.690510,1.121203,2.279770,-0.857401,1.112053,2.253731,-0.669683,1.210779,2.155086,-0.810599,1.210928,2.147218,-0.628421,1.204889,2.223285,-0.884537,1.201289,2.176004,-0.728969,1.163601,2.340656,-0.864562,1.149230,2.328233,-0.584513,0.137539,2.048360,-0.949187,0.198324,2.246373,-0.544246,0.145428,2.053792,-0.990536,0.198945,2.248129,-0.543174,0.208407,2.029912,-0.997789,0.248083,2.293632,-0.527926,0.177761,2.099703,-1.017110,0.172791,2.293178
2620,89.079162,0,OK,96.07,-0.718279,0.224620,2.098333,-0.709871,0.159873,2.081530,-0.694894,0.039675,2.049836,-0.680559,-0.080140,2.016441,-0.661954,-0.236696,1.972265,-0.661054,-0.264582,1.805943,-0.640503,-0.321122,1.787205,-0.691106,-0.316295,1.786122,-0.612216,-0.363165,1.869398,-0.730288,-0.351902,1.866871,-0.643123,-0.208597,2.059096,-0.746680,-0.199072,1.981723,-0.568573,-0.237236,2.122298,-0.822310,-0.200694,1.913534,-0.514332,-0.087539,2.294955,-0.919691,-0.064152,2.077957,-0.524718,0.077450,2.128125,-1.006546,0.099792,2.221973,-0.651741,0.278065,2.163408,-0.799596,0.284976,2.062791,-0.641841,0.721597,2.188653,-0.833319,0.725722,2.108192,-0.693897,1.111600,2.284568,-0.858175,1.102306,2.255090,-0.673817,1.201245,2.159810,-0.812597,1.201901,2.148718,-0.632137,1.195304,2.227750,-0.886231,1.191956,2.178169,-0.731970,1.153972,2.345715,-0.864670,1.139023,2.329879,-0.579948,0.136996,2.057233,-0.946985,0.186615,2.245124,-0.539645,0.143454,2.064109,-0.988183,0.186990,2.249114,-0.536448,0.207841,2.044571,-0.993292,0.236458,2.294550,-0.523678,0.172204,2.112463,-1.012102,0.161045,2.295743
2621,89.117115,0,OK,96.16,-0.720755,0.213005,2.099074,-0.712482,0.148243,2.082263,-0.697597,0.028131,2.050201,-0.683107,-0.091505,2.016237,-0.664215,-0.247814,1.971311,-0.662743,-0.273684,1.804667,-0.641774,-0.329856,1.785299,-0.692405,-0.325351,1.784153,-0.613399,-0.372700,1.867047,-0.731537,-0.362188,1.864372,-0.646008,-0.220211,2.058434,-0.749000,-0.210222,1.980368,-0.572191,-0.249348,2.122265,-0.824290,-0.211404,1.911794,-0.520844,-0.101975,2.297783,-0.919516,-0.072639,2.075618,-0.527020,0.067032,2.134809,-1.004509,0.094154,2.217457,-0.654140,0.266287,2.164203,-0.801913,0.273551,2.063490,-0.645118,0.709740,2.191116,-0.835075,0.714475,2.107570,-0.697081,1.099547,2.287874,-0.858841,1.090497,2.256077,-0.677391,1.188963,2.162890,-0.813940,1.190525,2.149823,-0.635445,1.183080,2.230671,-0.887380,1.180475,2.179720,-0.734855,1.142067,2.349104,-0.864830,1.126903,2.331061,-0.578814,0.131880,2.066007,-0.943639,0.181158,2.236078,-0.538622,0.137033,2.074455,-0.984697,0.182009,2.241255,-0.533526,0.202381,2.058921,-0.988092,0.232932,2.285220,-0.523588,0.162503,2.124901,-1.007427,0.157756,2.289366
2622,89.148703,0,OK,95.63,-0.724672,0.202122,2.102653,-0.716719,0.137337,2.085774,-0.702467,0.017281,2.053219,-0.688340,-0.102257,2.018761,-0.669617,-0.258381,1.973129,-0.664525,-0.280674,1.806040,-0.642115,-0.336015,1.785908,-0.692793,-0.332446,1.783888,-0.614454,-0.380041,1.867272,-0.732702,-0.371712,1.862558,-0.652029,-0.231321,2.060549,-0.754344,-0.220545,1.981700,-0.579051,-0.261152,2.125020,-0.829147,-0.221045,1.912588,-0.531330,-0.114255,2.301954,-0.922161,-0.076893,2.072996,-0.533918,0.056839,2.141075,-1.002875,0.098704,2.206461,-0.657895,0.254957,2.167982,-0.805430,0.263155,2.066991,-0.649137,0.698436,2.194541,-0.838065,0.704337,2.108827,-0.700782,1.088535,2.290292,-0.861223,1.080606,2.256803,-0.681122,1.177559,2.165025,-0.816441,1.180602,2.150468,-0.639126,1.171846,2.232789,-0.889834,1.170608,2.180501,-0.738471,1.131268,2.351425,-0.867044,1.117016,2.331799,-0.583300,0.125211,2.073931,-0.940256,0.185433,2.219828,-0.543301,0.129577,2.083643,-0.981278,0.187405,2.224983,-0.537216,0.195499,2.071195,-0.983573,0.240904,2.265852,-0.529377,0.152618,2.135555,-1.004383,0.166506,2.274471
2623,89.179695,0,OK,96.00,-0.729188,0.200782,2.107369,-0.721575,0.135974,2.090421,-0.708084,0.015941,2.057461,-0.694603,-0.103564,2.022630,-0.676741,-0.259649,1.976522,-0.666548,-0.278696,1.809265,-0.642349,-0.333144,1.788770,-0.693019,-0.330656,1.785399,-0.615952,-0.378062,1.870066,-0.734183,-0.372257,1.862200,-0.659685,-0.233082,2.064197,-0.761233,-0.221168,1.984526,-0.587642,-0.263805,2.129298,-0.835385,-0.220802,1.914715,-0.542424,-0.116536,2.306581,-0.926528,-0.068903,2.068928,-0.541508,0.054288,2.145396,-1.001601,0.117957,2.189799,-0.662312,0.253108,2.173005,-0.809446,0.262363,2.071521,-0.652849,0.696646,2.198322,-0.841676,0.703789,2.111037,-0.704306,1.087024,2.293032,-0.864813,1.080556,2.257744,-0.684173,1.175978,2.167789,-0.819652,1.180389,2.151416,-0.642420,1.170286,2.235706,-0.893134,1.170499,2.181264,-0.742198,1.129800,2.354009,-0.870799,1.117055,2.332683,-0.589450,0.124443,2.079053,-0.936188,0.203227,2.198271,-0.549608,0.128404,2.089553,-0.977191,0.206948,2.202532,-0.543049,0.194575,2.078779,-0.978245,0.263214,2.239555,-0.536494,0.150150,2.142229,-1.001793,0.190348,2.252918
2624,89.210750,0,OK,97.05,-0.731208,0.201597,2.109620,-0.723907,0.136771,2.092605,-0.711135,0.016760,2.059278,-0.698304,-0.102716,2.024105,-0.681327,-0.258770,1.977559,-0.666326,-0.271877,1.810093,-0.640312,-0.325027,1.788448,-0.690922,-0.323587,1.783802,-0.614982,-0.372069,1.868878,-0.733073,-0.368709,1.858036,-0.664686,-0.232650,2.065448,-0.765572,-0.219662,1.985107,-0.593517,-0.264218,2.131103,-0.839139,-0.218432,1.914689,-0.550950,-0.115409,2.307755,-0.929398,-0.055475,2.057729,-0.545776,0.053507,2.144653,-0.998327,0.144366,2.160074,-0.664241,0.253457,2.175532,-0.811009,0.263676,2.073613,-0.653526,0.697096,2.198474,-0.842169,0.705355,2.111103,-0.704345,1.088097,2.290926,-0.864859,1.082906,2.255855,-0.683287,1.176738,2.165613,-0.818970,1.182269,2.149398,-0.641973,1.171139,2.233805,-0.892606,1.172676,2.178962,-0.742560,1.131068,2.351564,-0.871067,1.119665,2.330649,-0.593134,0.123418,2.077636,-0.929844,0.227562,2.163256,-0.553452,0.127556,2.088660,-0.970783,0.233177,2.165658,-0.547033,0.193748,2.077932,-0.970794,0.292582,2.197419,-0.541131,0.149388,2.141491,-0.997693,0.222163,2.216393
2625,89.249227,0,OK,97.64,-0.733863,0.213820,2.114896,-0.726946,0.148986,2.097753,-0.715419,0.028844,2.064447,-0.704102,-0.090893,2.029642,-0.689224,-0.247306,1.983586,-0.666823,-0.258557,1.816814,-0.638710,-0.310914,1.795870,-0.689097,-0.310565,1.789078,-0.615759,-0.358103,1.876925,-0.733328,-0.357290,1.861078,-0.672826,-0.221234,2.071536,-0.772901,-0.206869,1.990418,-0.602731,-0.253766,2.137874,-0.845712,-0.204621,1.919244,-0.561656,-0.102766,2.313013,-0.936174,-0.030684,2.048568,-0.551804,0.063142,2.147062,-0.997904,0.180638,2.130388,-0.666828,0.265041,2.181238,-0.813057,0.276555,2.078683,-0.654505,0.708801,2.200770,-0.844161,0.718265,2.115849,-0.705952,1.100174,2.291286,-0.867762,1.096423,2.258859,-0.683211,1.188785,2.166246,-0.820773,1.195332,2.152460,-0.642829,1.183216,2.234997,-0.894691,1.185932,2.181373,-0.745001,1.143151,2.351386,-0.874624,1.133472,2.333453,-0.598372,0.132621,2.079049,-0.925685,0.260676,2.130454,-0.558810,0.136808,2.090478,-0.966367,0.268288,2.129872,-0.552224,0.202919,2.079365,-0.965237,0.330249,2.156278,-0.547051,0.158996,2.143290,-0.996610,0.263078,2.179650
2626,89.278242,0,OK,97.39,-0.734886,0.221147,2.117555,-0.728310,0.156308,2.100293,-0.717892,0.036067,2.066978,-0.707936,-0.083871,2.032452,-0.694946,-0.240562,1.986769,-0.667327,-0.249677,1.820649,-0.637663,-0.301311,1.800051,-0.687820,-0.301776,1.791738,-0.616328,-0.348933,1.881295,-0.733361,-0.350019,1.861896,-0.678698,-0.214550,2.074764,-0.778096,-0.198965,1.993042,-0.609551,-0.247932,2.141671,-0.850260,-0.195772,1.921247,-0.570673,-0.093469,2.314274,-0.942599,-0.011851,2.034425,-0.555577,0.068198,2.144573,-0.997869,0.208211,2.095088,-0.667791,0.271793,2.184277,-0.813537,0.284462,2.081172,-0.653680,0.715708,2.198317,-0.844584,0.726125,2.118946,-0.704677,1.108266,2.283814,-0.869022,1.104784,2.260484,-0.680195,1.195775,2.158328,-0.820924,1.203219,2.154141,-0.640681,1.190701,2.227619,-0.895118,1.194025,2.182408,-0.744375,1.151828,2.343062,-0.876521,1.142130,2.334867,-0.601176,0.136613,2.074847,-0.922537,0.285318,2.094006,-0.561784,0.140991,2.086780,-0.962713,0.294308,2.089725,-0.555054,0.206929,2.074757,-0.960886,0.358218,2.110936,-0.550792,0.163985,2.139411,-0.996668,0.294458,2.137333
2627,89.312596,0,OK,97.26,-0.736315,0.228325,2.118849,-0.730128,0.163464,2.101529,-0.720969,0.043060,2.068433,-0.712501,-0.077161,2.034497,-0.701436,-0.234272,1.989762,-0.669318,-0.243867,1.824480,-0.638613,-0.295296,1.804926,-0.688524,-0.296298,1.795285,-0.618981,-0.342335,1.886935,-0.735440,-0.344671,1.864440,-0.684995,-0.207947,2.077628,-0.784060,-0.191584,1.995654,-0.616417,-0.241808,2.144879,-0.855866,-0.187868,1.923526,-0.579513,-0.082979,2.313916,-0.948691,0.002936,2.024222,-0.559817,0.074645,2.140916,-0.996774,0.228360,2.069323,-0.669052,0.278449,2.185796,-0.814454,0.292203,2.082344,-0.651936,0.722415,2.193416,-0.845177,0.733703,2.122230,-0.700902,1.116557,2.272579,-0.870002,1.112684,2.262834,-0.674776,1.202391,2.146271,-0.820854,1.210612,2.156503,-0.635939,1.197958,2.215987,-0.895291,1.201674,2.184207,-0.740915,1.161051,2.330915,-0.878025,1.150333,2.337010,-0.604560,0.141932,2.069556,-0.919123,0.303136,2.068534,-0.565333,0.146539,2.081940,-0.958643,0.312953,2.061112,-0.558511,0.212294,2.069001,-0.956144,0.377977,2.078530,-0.555062,0.170348,2.134354,-0.995525,0.316988,2.106313
