frame,timestamp_s,body_id,tracking_state,confidence,joint_00_x,joint_00_y,joint_00_z,joint_01_x,joint_01_y,joint_01_z,joint_02_x,joint_02_y,joint_02_z,joint_03_x,joint_03_y,joint_03_z,joint_04_x,joint_04_y,joint_04_z,joint_05_x,joint_05_y,joint_05_z,joint_06_x,joint_06_y,joint_06_z,joint_07_x,joint_07_y,joint_07_z,joint_08_x,joint_08_y,joint_08_z,joint_09_x,joint_09_y,joint_09_z,joint_10_x,joint_10_y,joint_10_z,joint_11_x,joint_11_y,joint_11_z,joint_12_x,joint_12_y,joint_12_z,joint_13_x,joint_13_y,joint_13_z,joint_14_x,joint_14_y,joint_14_z,joint_15_x,joint_15_y,joint_15_z,joint_16_x,joint_16_y,joint_16_z,joint_17_x,joint_17_y,joint_17_z,joint_18_x,joint_18_y,joint_18_z,joint_19_x,joint_19_y,joint_19_z,joint_20_x,joint_20_y,joint_20_z,joint_21_x,joint_21_y,joint_21_z,joint_22_x,joint_22_y,joint_22_z,joint_23_x,joint_23_y,joint_23_z,joint_24_x,joint_24_y,joint_24_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z,joint_29_x,joint_29_y,joint_29_z,joint_30_x,joint_30_y,joint_30_z,joint_31_x,joint_31_y,joint_31_z,joint_32_x,joint_32_y,joint_32_z,joint_33_x,joint_33_y,joint_33_z,joint_34_x,joint_34_y,joint_34_z,joint_35_x,joint_35_y,joint_35_z,joint_36_x,joint_36_y,joint_36_z,joint_37_x,joint_37_y,joint_37_z
2380,81.020571,0,OK,97.94,-0.656912,0.218877,2.105772,-0.650350,0.155368,2.094795,-0.634486,0.037976,2.073756,-0.615696,-0.078928,2.052405,-0.590411,-0.231712,2.024637,-0.580944,-0.372930,1.947323,-0.571824,-0.421894,1.980632,-0.617150,-0.416891,1.965943,-0.561342,-0.387089,2.064315,-0.667103,-0.375415,2.030041,-0.559827,-0.192701,2.100029,-0.672869,-0.201462,2.045296,-0.482706,-0.174214,2.159158,-0.766497,-0.207967,2.014039,-0.471531,0.081989,2.199102,-0.932830,-0.010635,2.041498,-0.501472,0.335678,2.153213,-1.104461,0.181142,2.075032,-0.582113,0.277506,2.153184,-0.743447,0.273833,2.077991,-0.596491,0.707338,2.214991,-0.780191,0.701773,2.143559,-0.634205,1.094576,2.288715,-0.808626,1.072235,2.280525,-0.607620,1.177746,2.160339,-0.776970,1.178374,2.174922,-0.568125,1.172968,2.229454,-0.846895,1.163319,2.210184,-0.672257,1.139006,2.347517,-0.810148,1.103339,2.357401,-0.591720,0.404914,2.118062,-1.106758,0.290732,2.121494,-0.549075,0.419892,2.117316,-1.143777,0.264794,2.120893,-0.563128,0.493097,2.120798,-1.180431,0.296729,2.177508,-0.521620,0.438310,2.172339,-1.149461,0.217713,2.164154
2381,81.048088,0,OK,98.03,-0.653406,0.226845,2.117541,-0.646391,0.163328,2.106893,-0.629859,0.046049,2.085736,-0.610788,-0.070651,2.063539,-0.585188,-0.223008,2.033781,-0.573646,-0.362840,1.954261,-0.563961,-0.412202,1.986814,-0.609312,-0.407567,1.972081,-0.554157,-0.378597,2.071068,-0.659976,-0.367782,2.036691,-0.555375,-0.185108,2.110044,-0.667857,-0.193072,2.054050,-0.478894,-0.168039,2.170416,-0.760787,-0.200929,2.021066,-0.467166,0.088220,2.209841,-0.931423,-0.006153,2.038568,-0.517544,0.328337,2.125187,-1.105718,0.184968,2.059879,-0.579290,0.286125,2.165215,-0.740066,0.281163,2.088911,-0.593817,0.716239,2.224996,-0.776062,0.710504,2.145062,-0.632145,1.103746,2.296969,-0.804199,1.086182,2.267064,-0.603344,1.186133,2.168567,-0.769537,1.188170,2.158361,-0.564930,1.181620,2.238305,-0.840272,1.174967,2.192737,-0.670962,1.148607,2.354936,-0.806960,1.120058,2.342723,-0.615511,0.379715,2.081178,-1.106975,0.293680,2.108397,-0.574870,0.398935,2.076439,-1.144519,0.268594,2.106224,-0.597166,0.469563,2.067319,-1.182102,0.300262,2.162378,-0.549085,0.429869,2.126426,-1.152489,0.220839,2.148370
2382,81.082088,0,OK,98.05,-0.653370,0.240992,2.128117,-0.645899,0.177437,2.118023,-0.628923,0.060154,2.097241,-0.610055,-0.056537,2.074828,-0.584813,-0.208816,2.044371,-0.569968,-0.347820,1.963952,-0.559438,-0.397199,1.996216,-0.604797,-0.393397,1.981270,-0.550774,-0.363990,2.080751,-0.656611,-0.355118,2.045877,-0.555920,-0.171608,2.121325,-0.667613,-0.178586,2.063647,-0.480215,-0.156013,2.183060,-0.759772,-0.187265,2.028761,-0.464285,0.100891,2.216337,-0.930855,0.007641,2.038897,-0.538143,0.298689,2.065402,-1.102762,0.201779,2.049822,-0.580024,0.301063,2.175990,-0.740078,0.294587,2.098296,-0.593695,0.731603,2.232836,-0.775434,0.724931,2.146637,-0.633140,1.119171,2.303864,-0.803426,1.104542,2.255825,-0.601427,1.201163,2.175895,-0.765770,1.202725,2.144642,-0.564505,1.196731,2.246440,-0.837294,1.191125,2.177946,-0.673060,1.164274,2.360887,-0.807488,1.140863,2.330281,-0.640228,0.319627,2.007833,-1.101779,0.310356,2.098650,-0.602304,0.341720,1.997003,-1.140010,0.286428,2.095581,-0.633296,0.402096,1.965973,-1.177832,0.319080,2.151007,-0.582742,0.390091,2.034392,-1.150342,0.238830,2.137392
2383,81.116089,0,OK,97.46,-0.655921,0.259623,2.134343,-0.647998,0.196029,2.124862,-0.630684,0.078727,2.104467,-0.612154,-0.037995,2.081932,-0.587734,-0.190374,2.051307,-0.568827,-0.329223,1.971474,-0.556912,-0.378146,2.003951,-0.602347,-0.375710,1.988952,-0.549284,-0.344355,2.088355,-0.655300,-0.338670,2.053359,-0.559304,-0.153580,2.128632,-0.670492,-0.159590,2.069876,-0.484024,-0.139370,2.191214,-0.762167,-0.168595,2.033819,-0.463139,0.118015,2.217241,-0.930072,0.029151,2.041880,-0.546550,0.269753,2.023905,-1.095772,0.228819,2.047948,-0.583308,0.320542,2.182263,-0.742705,0.312443,2.103379,-0.595777,0.751455,2.236490,-0.778021,0.743360,2.146340,-0.636886,1.138807,2.307757,-0.806357,1.125281,2.247056,-0.602117,1.220755,2.180556,-0.766288,1.220647,2.134276,-0.566817,1.216244,2.251922,-0.838442,1.210140,2.166569,-0.678007,1.183977,2.363865,-0.811564,1.163369,2.320552,-0.647797,0.266747,1.961343,-1.091694,0.337372,2.096669,-0.611342,0.288511,1.945822,-1.130692,0.314796,2.093062,-0.645796,0.336238,1.899956,-1.168155,0.348843,2.147890,-0.596979,0.346238,1.969942,-1.143304,0.267657,2.134767
2384,81.146333,0,OK,97.24,-0.658762,0.274304,2.136246,-0.650386,0.210688,2.127311,-0.632749,0.093386,2.107200,-0.614450,-0.023363,2.084617,-0.590505,-0.175824,2.054023,-0.567359,-0.314844,1.975618,-0.554106,-0.363076,2.008605,-0.599555,-0.362114,1.993482,-0.547678,-0.328245,2.092686,-0.653726,-0.326000,2.057399,-0.562450,-0.139228,2.131578,-0.673250,-0.144682,2.072042,-0.487484,-0.126026,2.194756,-0.764597,-0.153912,2.035215,-0.462255,0.131447,2.215543,-0.926604,0.048545,2.046434,-0.540449,0.268197,2.009278,-1.083146,0.255459,2.052884,-0.586849,0.336036,2.184181,-0.745656,0.326347,2.104292,-0.597908,0.767206,2.236638,-0.781986,0.757443,2.144524,-0.640967,1.154089,2.309287,-0.811697,1.140169,2.241728,-0.603243,1.236266,2.183080,-0.769775,1.233972,2.128313,-0.569542,1.231529,2.255200,-0.842434,1.223964,2.159617,-0.683242,1.199205,2.364576,-0.818006,1.179248,2.314615,-0.638982,0.259058,1.943083,-1.074762,0.363995,2.101089,-0.601929,0.279497,1.927184,-1.114624,0.342963,2.097593,-0.634473,0.322709,1.875781,-1.150695,0.378726,2.152261,-0.588642,0.339240,1.946544,-1.129081,0.296558,2.139522
2385,81.182333,0,OK,97.20,-0.661303,0.282826,2.134659,-0.652496,0.219215,2.126112,-0.634457,0.101957,2.106098,-0.616081,-0.014776,2.083493,-0.591993,-0.167246,2.053058,-0.564858,-0.306613,1.976572,-0.550344,-0.354013,2.010229,-0.595772,-0.354511,1.995019,-0.545050,-0.317892,2.093842,-0.651049,-0.319054,2.058355,-0.564133,-0.130583,2.130652,-0.674794,-0.136132,2.070867,-0.489286,-0.117760,2.194048,-0.766007,-0.145768,2.033812,-0.461804,0.139630,2.212915,-0.920767,0.061715,2.052799,-0.527630,0.284395,2.007804,-1.066534,0.276162,2.063985,-0.589982,0.345266,2.182559,-0.748377,0.334152,2.102042,-0.599990,0.776577,2.234059,-0.786835,0.765066,2.142239,-0.645276,1.162821,2.308728,-0.818932,1.147209,2.240965,-0.605089,1.245272,2.183463,-0.776306,1.240919,2.127736,-0.572746,1.240298,2.256186,-0.849210,1.230729,2.158405,-0.688512,1.207854,2.363337,-0.826029,1.186418,2.313709,-0.622050,0.280506,1.935390,-1.053131,0.384554,2.111374,-0.583335,0.299851,1.922336,-1.093830,0.365063,2.108688,-0.610944,0.345402,1.870071,-1.127541,0.402494,2.163744,-0.569100,0.358599,1.943936,-1.109340,0.319482,2.151142
2386,81.213203,0,OK,97.57,-0.662369,0.285303,2.133531,-0.653183,0.221701,2.125323,-0.634781,0.104473,2.105468,-0.616310,-0.012266,2.082968,-0.592070,-0.164775,2.052852,-0.561177,-0.304321,1.978139,-0.545532,-0.350918,2.012405,-0.590895,-0.352769,1.997106,-0.541373,-0.313655,2.095581,-0.647219,-0.317975,2.059884,-0.564359,-0.127951,2.130424,-0.674920,-0.133684,2.070470,-0.489610,-0.115178,2.193946,-0.766049,-0.143638,2.033293,-0.461348,0.142171,2.212207,-0.913886,0.067641,2.062721,-0.510218,0.309172,2.019637,-1.048918,0.288534,2.080980,-0.591561,0.348363,2.181382,-0.749606,0.335993,2.100361,-0.601203,0.779761,2.232228,-0.790319,0.766482,2.142833,-0.648540,1.165475,2.308344,-0.824846,1.147083,2.246567,-0.606528,1.247853,2.183631,-0.782508,1.241656,2.133948,-0.575180,1.242831,2.256786,-0.855414,1.230905,2.164421,-0.692439,1.210581,2.362361,-0.832289,1.185843,2.319518,-0.598613,0.319689,1.940581,-1.031334,0.396597,2.127747,-0.557873,0.337602,1.932646,-1.072641,0.378322,2.125948,-0.578396,0.390339,1.884001,-1.104095,0.416880,2.181559,-0.541861,0.392541,1.961728,-1.088632,0.333331,2.168850
2387,81.248295,0,OK,97.46,-0.669007,0.282845,2.130025,-0.659340,0.219305,2.121891,-0.639924,0.102260,2.101922,-0.620233,-0.014303,2.079546,-0.594308,-0.166614,2.049832,-0.560555,-0.306328,1.976686,-0.543763,-0.352148,2.011452,-0.589123,-0.355194,1.996338,-0.540164,-0.313802,2.094161,-0.646003,-0.320908,2.058893,-0.566744,-0.129212,2.127179,-0.677453,-0.136444,2.067662,-0.491936,-0.115350,2.190403,-0.768613,-0.147715,2.030941,-0.462852,0.141552,2.213126,-0.911019,0.065220,2.072652,-0.494044,0.340108,2.048921,-1.034469,0.292172,2.097418,-0.598666,0.346500,2.177779,-0.756636,0.332830,2.096821,-0.607147,0.777838,2.229325,-0.799749,0.762839,2.141721,-0.655313,1.162953,2.307916,-0.836363,1.141433,2.251884,-0.612500,1.245420,2.183535,-0.795762,1.237272,2.139697,-0.581493,1.240177,2.256819,-0.868306,1.225707,2.170730,-0.699316,1.208097,2.361816,-0.843440,1.179519,2.325224,-0.575214,0.372884,1.968228,-1.010967,0.400043,2.141979,-0.532766,0.388316,1.966318,-1.053051,0.383541,2.141615,-0.545570,0.450786,1.927558,-1.081239,0.424219,2.197467,-0.514916,0.435255,2.006300,-1.069723,0.339906,2.185645
2388,81.284296,0,OK,97.36,-0.672157,0.278726,2.127876,-0.662073,0.215246,2.119785,-0.641796,0.098355,2.099765,-0.621065,-0.018064,2.077583,-0.593731,-0.170215,2.048315,-0.556424,-0.310406,1.977858,-0.538574,-0.355139,2.013503,-0.583818,-0.359582,1.998387,-0.536067,-0.315168,2.095479,-0.641637,-0.325536,2.060210,-0.566253,-0.132261,2.125423,-0.677107,-0.140813,2.066351,-0.491369,-0.117305,2.188307,-0.768321,-0.153241,2.030141,-0.460742,0.139087,2.214493,-0.908167,0.058466,2.084765,-0.479464,0.356680,2.074266,-1.023739,0.288615,2.116941,-0.602210,0.342885,2.175533,-0.760139,0.328101,2.094690,-0.610435,0.774282,2.226628,-0.804603,0.757670,2.142390,-0.659105,1.159267,2.305542,-0.842093,1.134287,2.258856,-0.616070,1.241113,2.180829,-0.803601,1.231189,2.146839,-0.585076,1.236082,2.254133,-0.875644,1.218955,2.178767,-0.702984,1.204749,2.359260,-0.848399,1.171792,2.332565,-0.554576,0.406410,1.996424,-0.994414,0.395861,2.159515,-0.511236,0.419097,1.998494,-1.037125,0.381097,2.160699,-0.518403,0.487346,1.969177,-1.061782,0.423442,2.216981,-0.492530,0.458280,2.045772,-1.054102,0.338615,2.205728
2389,81.316797,0,OK,97.55,-0.676682,0.266839,2.126469,-0.666156,0.203441,2.118293,-0.644573,0.086822,2.098055,-0.621968,-0.029251,2.075890,-0.591991,-0.180937,2.046797,-0.551586,-0.321260,1.978339,-0.532922,-0.365130,2.014632,-0.578019,-0.370712,1.999456,-0.531485,-0.324019,2.096068,-0.636712,-0.337043,2.060658,-0.565120,-0.142405,2.123833,-0.675855,-0.152979,2.064866,-0.490449,-0.125882,2.186578,-0.766883,-0.167175,2.028838,-0.458938,0.129678,2.219087,-0.906958,0.041708,2.092929,-0.470558,0.360334,2.100667,-1.011944,0.276936,2.124654,-0.607149,0.331434,2.174141,-0.765042,0.315629,2.093422,-0.614955,0.762972,2.224096,-0.809189,0.745219,2.141230,-0.662577,1.148449,2.301230,-0.845562,1.121516,2.259075,-0.619408,1.228830,2.175613,-0.809250,1.217829,2.145830,-0.588236,1.224318,2.248875,-0.880698,1.205630,2.179082,-0.706028,1.194709,2.354630,-0.850669,1.159448,2.332659,-0.541714,0.423569,2.029166,-0.975098,0.383082,2.164019,-0.497937,0.433899,2.033694,-1.018683,0.371246,2.165971,-0.501557,0.505771,2.013944,-1.039881,0.416639,2.221278,-0.478686,0.465361,2.086229,-1.037989,0.331218,2.212292
