frame,timestamp_s,body_id,tracking_state,confidence,joint_00_x,joint_00_y,joint_00_z,joint_01_x,joint_01_y,joint_01_z,joint_02_x,joint_02_y,joint_02_z,joint_03_x,joint_03_y,joint_03_z,joint_04_x,joint_04_y,joint_04_z,joint_05_x,joint_05_y,joint_05_z,joint_06_x,joint_06_y,joint_06_z,joint_07_x,joint_07_y,joint_07_z,joint_08_x,joint_08_y,joint_08_z,joint_09_x,joint_09_y,joint_09_z,joint_10_x,joint_10_y,joint_10_z,joint_11_x,joint_11_y,joint_11_z,joint_12_x,joint_12_y,joint_12_z,joint_13_x,joint_13_y,joint_13_z,joint_14_x,joint_14_y,joint_14_z,joint_15_x,joint_15_y,joint_15_z,joint_16_x,joint_16_y,joint_16_z,joint_17_x,joint_17_y,joint_17_z,joint_18_x,joint_18_y,joint_18_z,joint_19_x,joint_19_y,joint_19_z,joint_20_x,joint_20_y,joint_20_z,joint_21_x,joint_21_y,joint_21_z,joint_22_x,joint_22_y,joint_22_z,joint_23_x,joint_23_y,joint_23_z,joint_24_x,joint_24_y,joint_24_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z,joint_29_x,joint_29_y,joint_29_z,joint_30_x,joint_30_y,joint_30_z,joint_31_x,joint_31_y,joint_31_z,joint_32_x,joint_32_y,joint_32_z,joint_33_x,joint_33_y,joint_33_z,joint_34_x,joint_34_y,joint_34_z,joint_35_x,joint_35_y,joint_35_z,joint_36_x,joint_36_y,joint_36_z,joint_37_x,joint_37_y,joint_37_z
0,0.057926,0,OFF,96.71,-0.624866,0.321507,2.118142,-0.613038,0.194898,2.111852,-0.604411,0.069399,2.116566,-0.601126,-0.057174,2.140455,-0.594574,-0.185780,2.132532,-0.462078,-0.315755,2.105599,-0.435797,-0.354436,2.122885,-0.477720,-0.357325,2.087061,,,,-0.571874,-0.378677,2.107159,-0.542204,-0.188646,2.188204,-0.648594,-0.189771,2.097835,-0.493798,-0.186669,2.250525,-0.699191,-0.188728,2.067343,-0.481986,0.067483,2.392736,-0.814447,0.056672,2.042847,-0.432815,0.319642,2.439678,-0.739473,0.254841,1.963191,-0.552477,0.326961,2.198349,-0.698853,0.310709,2.053724,-0.524934,0.713493,2.246971,-0.678123,0.690352,2.037725,-0.633438,1.147693,2.294084,-0.920696,1.023183,2.155049,-0.507113,1.221352,2.215471,-0.842511,1.235170,2.189888,-0.484943,1.164979,2.163243,-0.876440,1.165417,2.097835,-0.711052,1.208127,2.335521,-0.971708,1.052665,2.178150,-0.459477,0.468450,2.465048,-0.675170,0.371661,2.000467,-0.400087,0.423444,2.388467,-0.679963,0.338244,1.907890,-0.512305,0.557353,2.748468,-0.698597,0.402835,1.986498,-0.400087,0.423444,2.388467,-0.750633,0.354192,1.951073
1,0.101475,0,OFF,97.17,-0.633752,0.312247,2.115049,-0.621911,0.185846,2.108763,-0.612449,0.060421,2.110412,-0.613193,-0.075256,2.148180,-0.600901,-0.200717,2.132348,-0.470136,-0.332094,2.097942,-0.441835,-0.360183,2.104528,-0.493550,-0.363443,2.072164,,,,-0.579553,-0.386063,2.099515,-0.551087,-0.206392,2.183209,-0.659658,-0.198908,2.102236,-0.492661,-0.204594,2.228423,-0.703297,-0.198036,2.052782,-0.486678,0.046365,2.367112,-0.827837,0.042420,2.042717,-0.422733,0.312395,2.397306,-0.756779,0.238999,1.965587,-0.555986,0.328016,2.205748,-0.710054,0.301204,2.059623,-0.543639,0.710802,2.238306,-0.688951,0.683265,2.041961,-0.632955,1.146846,2.292340,-0.916567,1.054341,2.145215,-0.505989,1.218679,2.210519,-0.817600,1.207512,2.123987,-0.476384,1.144446,2.124414,-0.855810,1.181231,2.094820,-0.700217,1.217802,2.335418,-0.951868,1.077890,2.155632,-0.396486,0.408989,2.142396,-0.699735,0.358097,2.018213,-0.392003,0.414899,2.339394,-0.682643,0.311594,1.890596,-0.529594,0.564393,2.842408,-0.696605,0.375323,1.929103,-0.393827,0.407053,2.350477,-0.748868,0.321317,1.899949
2,0.121474,0,OFF,97.40,-0.642866,0.310952,2.116280,-0.627856,0.177115,2.099390,-0.619239,0.052306,2.103883,-0.619454,-0.077777,2.139073,-0.605878,-0.204071,2.135392,-0.479444,-0.335356,2.101262,-0.447586,-0.365747,2.091112,-0.503286,-0.371088,2.071521,,,,-0.587799,-0.387290,2.098367,-0.553070,-0.202762,2.185160,-0.661542,-0.206963,2.103594,-0.494682,-0.202846,2.234663,-0.712822,-0.206772,2.059539,-0.484377,0.043136,2.361917,-0.836084,0.032076,2.040666,-0.419090,0.308088,2.382884,-0.758745,0.230640,1.948049,-0.560639,0.325327,2.196570,-0.719710,0.296950,2.064234,-0.555515,0.711929,2.242450,-0.704644,0.682056,2.042550,-0.633162,1.153760,2.292406,-0.906444,1.062680,2.138279,-0.506551,1.219417,2.212186,-0.808080,1.204999,2.118276,-0.475819,1.142509,2.121527,-0.851558,1.188004,2.091071,-0.688056,1.214254,2.326019,-0.939057,1.085057,2.146464,-0.382670,0.392508,2.066381,-0.709698,0.359052,2.038734,-0.389888,0.412470,2.326716,-0.687954,0.300948,1.883740,-0.400998,0.425063,2.148910,-0.695621,0.361312,1.900921,-0.391876,0.403354,2.338659,-0.758710,0.311922,1.901999
3,0.148473,0,OK,97.35,-0.636330,0.223449,2.131004,-0.627967,0.160294,2.135104,-0.615088,0.042577,2.140794,-0.603598,-0.075319,2.145699,-0.588897,-0.229530,2.151928,-0.485880,-0.331054,2.073239,-0.468986,-0.382677,2.099495,-0.501091,-0.388923,2.065525,-0.509491,-0.373102,2.179654,-0.584401,-0.387677,2.100390,-0.573275,-0.179347,2.222521,-0.667993,-0.191492,2.145398,-0.489118,-0.186306,2.269112,-0.727570,-0.215692,2.073519,-0.490787,0.053529,2.356519,-0.860970,0.000272,2.046541,-0.405280,0.292374,2.328133,-0.769942,0.210379,1.933702,-0.574120,0.295106,2.185669,-0.714060,0.268984,2.068731,-0.583696,0.736892,2.231163,-0.718689,0.712443,2.043078,-0.616185,1.137741,2.277881,-0.882340,1.073469,2.125522,-0.527057,1.182973,2.148733,-0.785907,1.202255,2.118421,-0.508931,1.177369,2.229521,-0.850851,1.183485,2.070289,-0.649165,1.203934,2.322435,-0.957131,1.087466,2.166322,-0.402757,0.336937,2.184121,-0.666874,0.317067,1.960652,-0.378799,0.368712,2.225541,-0.703867,0.321770,1.916965,-0.382304,0.452622,2.182338,-0.702040,0.415709,1.907383,-0.426975,0.413386,2.273396,-0.780290,0.344553,1.932688
4,0.179476,0,OK,97.37,-0.644513,0.224920,2.136698,-0.636234,0.161426,2.138876,-0.622911,0.043199,2.140355,-0.611412,-0.075227,2.139762,-0.596774,-0.230128,2.138566,-0.488268,-0.332975,2.071978,-0.475002,-0.384192,2.100489,-0.503623,-0.390465,2.063541,-0.523120,-0.373389,2.176050,-0.589902,-0.388026,2.089837,-0.582851,-0.183412,2.212118,-0.675893,-0.191587,2.132177,-0.500276,-0.193569,2.261198,-0.733815,-0.211799,2.057563,-0.484967,0.047924,2.346288,-0.858798,0.012178,2.060162,-0.410186,0.291151,2.314012,-0.767668,0.209643,1.924162,-0.581553,0.294686,2.192366,-0.722751,0.272319,2.077011,-0.571142,0.736711,2.224911,-0.735360,0.715445,2.071258,-0.616798,1.136755,2.258794,-0.880919,1.088695,2.123837,-0.497201,1.203826,2.172628,-0.785782,1.216576,2.114184,-0.511786,1.201004,2.253883,-0.845927,1.193257,2.062592,-0.677970,1.192487,2.281496,-0.958428,1.105554,2.156576,-0.433939,0.394439,2.237063,-0.675545,0.302185,1.934323,-0.404086,0.398145,2.276800,-0.714728,0.307945,1.904066,-0.411302,0.478830,2.289797,-0.715194,0.389907,1.900442,-0.433145,0.402539,2.341109,-0.777151,0.325908,1.931999
5,0.212640,0,OK,97.52,-0.651284,0.221199,2.132299,-0.643303,0.157512,2.133826,-0.630253,0.038995,2.134410,-0.618878,-0.079689,2.133078,-0.604352,-0.234919,2.130954,-0.494824,-0.338523,2.069002,-0.482967,-0.389347,2.098502,-0.510444,-0.395807,2.060727,-0.533334,-0.377649,2.172380,-0.597446,-0.392722,2.084239,-0.588850,-0.188410,2.204500,-0.683689,-0.196217,2.126459,-0.505297,-0.199201,2.251961,-0.743296,-0.216286,2.053013,-0.487419,0.040915,2.344189,-0.864648,0.011195,2.055804,-0.415164,0.286975,2.317447,-0.773124,0.205738,1.913474,-0.586890,0.290000,2.186825,-0.730332,0.269344,2.074971,-0.576660,0.731036,2.215759,-0.743616,0.711215,2.069669,-0.616849,1.130984,2.243712,-0.878895,1.086882,2.123785,-0.496644,1.196021,2.159279,-0.781886,1.211018,2.107542,-0.513006,1.195462,2.239829,-0.845230,1.189196,2.059920,-0.678313,1.186851,2.263049,-0.953289,1.106437,2.160609,-0.437648,0.389189,2.253970,-0.686476,0.291908,1.920512,-0.407653,0.388984,2.289593,-0.723889,0.297437,1.893339,-0.410881,0.463462,2.307485,-0.724201,0.374029,1.890021,-0.431256,0.389573,2.351388,-0.781474,0.314407,1.921123
6,0.245114,0,OK,97.31,-0.658153,0.220210,2.126742,-0.650317,0.156427,2.127357,-0.637255,0.037798,2.126405,-0.625744,-0.080962,2.123574,-0.611009,-0.236284,2.119497,-0.502352,-0.344708,2.066745,-0.491441,-0.393021,2.100261,-0.518674,-0.402109,2.062848,-0.542289,-0.375401,2.172621,-0.605832,-0.396607,2.085323,-0.593510,-0.190431,2.193129,-0.690604,-0.197662,2.117693,-0.509906,-0.201704,2.240545,-0.752346,-0.217319,2.045813,-0.489499,0.035872,2.340785,-0.872100,0.011915,2.050033,-0.418643,0.283792,2.320247,-0.782690,0.207149,1.905824,-0.592310,0.288034,2.180067,-0.738331,0.269056,2.072293,-0.587912,0.727922,2.208454,-0.752629,0.709635,2.068781,-0.617199,1.127832,2.233601,-0.874902,1.087665,2.128450,-0.500761,1.187692,2.142479,-0.775879,1.206907,2.101984,-0.512897,1.189287,2.223391,-0.843056,1.186514,2.059938,-0.675740,1.185528,2.254472,-0.945062,1.110996,2.169981,-0.438452,0.389659,2.269674,-0.698364,0.290755,1.913379,-0.408347,0.384892,2.303123,-0.735077,0.296711,1.887600,-0.408202,0.455197,2.327856,-0.735415,0.371223,1.886036,-0.429481,0.380112,2.363678,-0.790700,0.312597,1.915709
7,0.278118,0,OK,97.51,-0.661929,0.221989,2.123068,-0.654049,0.158116,2.123028,-0.640770,0.039363,2.120524,-0.629205,-0.079501,2.115773,-0.614452,-0.234955,2.109102,-0.507368,-0.346172,2.060999,-0.496721,-0.392709,2.096781,-0.524298,-0.403373,2.060045,-0.546829,-0.371318,2.168543,-0.611176,-0.396199,2.082825,-0.595106,-0.190070,2.182958,-0.694148,-0.196335,2.109925,-0.514502,-0.201981,2.235244,-0.757794,-0.215147,2.039439,-0.490693,0.034112,2.339521,-0.878709,0.014042,2.045132,-0.418738,0.282233,2.318562,-0.792327,0.211925,1.901741,-0.595111,0.289246,2.175269,-0.743096,0.271055,2.070940,-0.599085,0.727507,2.208263,-0.761958,0.710169,2.071828,-0.616193,1.126980,2.232576,-0.870279,1.090481,2.135796,-0.505392,1.182098,2.133207,-0.771265,1.205979,2.099327,-0.511599,1.184873,2.214474,-0.841361,1.186143,2.062671,-0.671020,1.186504,2.256671,-0.936536,1.116670,2.181115,-0.437446,0.379348,2.256559,-0.710086,0.294175,1.911603,-0.406273,0.377831,2.288103,-0.746106,0.300542,1.886481,-0.402394,0.449336,2.302869,-0.746871,0.373653,1.887072,-0.423679,0.381879,2.348634,-0.800816,0.315004,1.914427
8,0.311628,0,OK,97.55,-0.666112,0.223571,2.117605,-0.658446,0.159577,2.117215,-0.645634,0.040615,2.113829,-0.634842,-0.078448,2.107916,-0.621185,-0.234160,2.099663,-0.514679,-0.346396,2.054277,-0.503791,-0.391583,2.091528,-0.531704,-0.403466,2.055413,-0.553248,-0.367994,2.163056,-0.618378,-0.395721,2.078786,-0.599964,-0.189932,2.173469,-0.700634,-0.195003,2.102556,-0.520982,-0.202775,2.228001,-0.765987,-0.212591,2.033298,-0.492436,0.033485,2.330996,-0.886997,0.016713,2.037501,-0.421195,0.282481,2.318056,-0.804536,0.219285,1.898194,-0.598465,0.290197,2.168895,-0.747656,0.272945,2.067022,-0.605404,0.726711,2.205725,-0.774407,0.710153,2.076095,-0.614994,1.125176,2.229746,-0.866292,1.093004,2.142620,-0.508139,1.177444,2.125677,-0.769475,1.205256,2.094713,-0.510590,1.180656,2.206870,-0.841994,1.184960,2.064091,-0.667232,1.185716,2.255848,-0.928567,1.121758,2.191304,-0.439544,0.380037,2.258181,-0.723903,0.301070,1.913955,-0.408226,0.377743,2.289083,-0.759219,0.308380,1.888649,-0.403459,0.448485,2.304769,-0.760724,0.380848,1.893041,-0.424703,0.381022,2.349477,-0.814258,0.320770,1.915979
9,0.347858,0,OK,97.70,-0.668721,0.227096,2.110386,-0.661348,0.162943,2.110103,-0.649196,0.043681,2.106716,-0.639390,-0.075684,2.100521,-0.627109,-0.231788,2.091833,-0.521717,-0.344304,2.046179,-0.510726,-0.389143,2.083650,-0.539042,-0.401157,2.047892,-0.559338,-0.365004,2.155513,-0.625409,-0.393037,2.072078,-0.604865,-0.187804,2.165597,-0.706256,-0.191881,2.095521,-0.526306,-0.201433,2.220650,-0.772499,-0.208264,2.026734,-0.495785,0.034701,2.323389,-0.892902,0.021406,2.027453,-0.424574,0.283954,2.316431,-0.814902,0.229189,1.893333,-0.600671,0.293322,2.161011,-0.750071,0.276597,2.060270,-0.608364,0.728031,2.203405,-0.786651,0.711375,2.081669,-0.613689,1.125226,2.230218,-0.863835,1.096043,2.149380,-0.508792,1.176638,2.124648,-0.770573,1.205334,2.090714,-0.509508,1.179422,2.205637,-0.844756,1.184172,2.065882,-0.664442,1.186062,2.257586,-0.922483,1.127057,2.200609,-0.441224,0.382940,2.258409,-0.735720,0.310517,1.916955,-0.410126,0.379602,2.289434,-0.770330,0.319159,1.891103,-0.404482,0.449960,2.306549,-0.772788,0.391172,1.900220,-0.426915,0.381911,2.349782,-0.826307,0.329194,1.917466
